species_name,genus,family,superfamily,suborder,order,role,assembly_accession,assembly_name,assembly_level,refseq_category,genome_size_mb,contig_N50,scaffold_N50,number_of_scaffolds,gc_percent,gene_annotation_available,annotation_source,primary_source,secondary_source,ncbi_bioproject,ncbi_biosample,submission_date,publication_doi,publication_year,pubmed_id,citation_short,restriction_status,restriction_notes,data_generating_consortium,include_recommended,conflict_flag,notes,ncbi_assembly_url,ncbi_download_url,ncbi_datasets_command,bioproject_url,total_score,selection_status
Caccobius schreberi,Caccobius,Scarabaeidae,Scarabaeoidea,Polyphaga,Coleoptera,ingroup,GCA_033557405.1,ASM3355740v1,Contig,reference genome,167.36,560,560,350504,36.0,yes,NCBI/RefSeq,NCBI,,PRJNA977672,,,,,,,published_open,,,no,,,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_033557405.1/,"https://api.ncbi.nlm.nih.gov/datasets/v2/genome/accession/GCA_033557405.1/download?include_annotation_type=GENOME_FASTA,GENOME_GFF,RNA_FASTA,PROT_FASTA&filename=GCA_033557405.1.zip","datasets download genome accession GCA_033557405.1 --include gff3,rna,protein,genome",https://www.ncbi.nlm.nih.gov/bioproject/PRJNA977672,77.481880270062,primary
Calathus fuscipes,Calathus,Carabidae,Caraboidea,Adephaga,Coleoptera,ingroup,GCA_978122415.1,icCalFusc1.hap1.1,Chromosome,reference genome,1037.85,6459000,57823483,255,31.0,yes,NCBI/RefSeq,NCBI,,PRJEB107157,,,,,,,published_open,,,yes,,,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_978122415.1/,"https://api.ncbi.nlm.nih.gov/datasets/v2/genome/accession/GCA_978122415.1/download?include_annotation_type=GENOME_FASTA,GENOME_GFF,RNA_FASTA,PROT_FASTA&filename=GCA_978122415.1.zip","datasets download genome accession GCA_978122415.1 --include gff3,rna,protein,genome",https://www.ncbi.nlm.nih.gov/bioproject/PRJEB107157,207.62104247869445,primary
Calathus melanocephalus,Calathus,Carabidae,Caraboidea,Adephaga,Coleoptera,ingroup,GCA_966096355.1,icCalMela1.hap1.1,Chromosome,reference genome,966.57,4009859,51750563,1096,31.0,yes,NCBI/RefSeq,NCBI,,PRJEB95786,,,,,,,published_open,,,yes,,,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_966096355.1/,"https://api.ncbi.nlm.nih.gov/datasets/v2/genome/accession/GCA_966096355.1/download?include_annotation_type=GENOME_FASTA,GENOME_GFF,RNA_FASTA,PROT_FASTA&filename=GCA_966096355.1.zip","datasets download genome accession GCA_966096355.1 --include gff3,rna,protein,genome",https://www.ncbi.nlm.nih.gov/bioproject/PRJEB95786,207.1391507889153,primary
Calligrapha alni,Calligrapha,Chrysomelidae,Chrysomeloidea,Polyphaga,Coleoptera,ingroup,GCA_046129895.1,icCalAlnx1_p1.1,Contig,reference genome,900.14,39003,39003,27784,35.5,yes,NCBI/RefSeq,NCBI,,PRJNA1153342,,,,,,,published_open,,,no,,,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_046129895.1/,"https://api.ncbi.nlm.nih.gov/datasets/v2/genome/accession/GCA_046129895.1/download?include_annotation_type=GENOME_FASTA,GENOME_GFF,RNA_FASTA,PROT_FASTA&filename=GCA_046129895.1.zip","datasets download genome accession GCA_046129895.1 --include gff3,rna,protein,genome",https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1153342,95.91098013009508,primary
Callosobruchus maculatus,Callosobruchus,Chrysomelidae,Chrysomeloidea,Polyphaga,Coleoptera,ingroup,GCA_040182625.1,Cmac_2024,Chromosome,reference genome,1222.63,1020411,117707481,487,38.0,yes,NCBI/RefSeq,NCBI,,PRJNA1048654,,,,,,,published_open,,,yes,,,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_040182625.1/,"https://api.ncbi.nlm.nih.gov/datasets/v2/genome/accession/GCA_040182625.1/download?include_annotation_type=GENOME_FASTA,GENOME_GFF,RNA_FASTA,PROT_FASTA&filename=GCA_040182625.1.zip","datasets download genome accession GCA_040182625.1 --include gff3,rna,protein,genome",https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1048654,210.7080406567922,primary
Calodromius spilotus,Calodromius,Carabidae,Caraboidea,Adephaga,Coleoptera,ingroup,GCA_977063495.1,icCalSpil2.1,Chromosome,reference genome,992.29,9193000,76300743,112,34.5,yes,NCBI/RefSeq,NCBI,,PRJEB103060,,,,,,,published_open,,,yes,,,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_977063495.1/,"https://api.ncbi.nlm.nih.gov/datasets/v2/genome/accession/GCA_977063495.1/download?include_annotation_type=GENOME_FASTA,GENOME_GFF,RNA_FASTA,PROT_FASTA&filename=GCA_977063495.1.zip","datasets download genome accession GCA_977063495.1 --include gff3,rna,protein,genome",https://www.ncbi.nlm.nih.gov/bioproject/PRJEB103060,208.8252876704045,primary
Calosoma granatense,Calosoma,Carabidae,Caraboidea,Adephaga,Coleoptera,ingroup,GCA_022063505.1,RBINS_Cgran_v1,Scaffold,reference genome,167.87,14497,5661974,6044,33.5,yes,NCBI/RefSeq,NCBI,,PRJNA706924,,,,,,,published_open,,,yes,,,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_022063505.1/,"https://api.ncbi.nlm.nih.gov/datasets/v2/genome/accession/GCA_022063505.1/download?include_annotation_type=GENOME_FASTA,GENOME_GFF,RNA_FASTA,PROT_FASTA&filename=GCA_022063505.1.zip","datasets download genome accession GCA_022063505.1 --include gff3,rna,protein,genome",https://www.ncbi.nlm.nih.gov/bioproject/PRJNA706924,157.52967870736882,primary
Calosoma relictum,Calosoma,Carabidae,Caraboidea,Adephaga,Coleoptera,ingroup,GCA_055275695.1,AUGM37_Crel_1.0,Contig,reference genome,214.75,2433412,2433412,595,34.0,yes,NCBI/RefSeq,NCBI,,PRJNA1390611,,,,,,,published_open,,,conditional,,,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_055275695.1/,"https://api.ncbi.nlm.nih.gov/datasets/v2/genome/accession/GCA_055275695.1/download?include_annotation_type=GENOME_FASTA,GENOME_GFF,RNA_FASTA,PROT_FASTA&filename=GCA_055275695.1.zip","datasets download genome accession GCA_055275695.1 --include gff3,rna,protein,genome",https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1390611,113.86215645379015,primary
Calosoma tepidum,Calosoma,Carabidae,Caraboidea,Adephaga,Coleoptera,ingroup,GCA_044734075.1,CalTep_1.1,Scaffold,reference genome,256.96,1994820,6606476,927,34.0,yes,NCBI/RefSeq,NCBI,,PRJNA1160031,,,,,,,published_open,,,yes,,,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_044734075.1/,"https://api.ncbi.nlm.nih.gov/datasets/v2/genome/accession/GCA_044734075.1/download?include_annotation_type=GENOME_FASTA,GENOME_GFF,RNA_FASTA,PROT_FASTA&filename=GCA_044734075.1.zip","datasets download genome accession GCA_044734075.1 --include gff3,rna,protein,genome",https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1160031,158.19969861623926,primary
Calosoma wilkesii,Calosoma,Carabidae,Caraboidea,Adephaga,Coleoptera,ingroup,GCA_044734065.1,CalWil_1.1,Scaffold,reference genome,220.97,523703,13106759,351,34.0,yes,NCBI/RefSeq,NCBI,,PRJNA1160031,,,,,,,published_open,,,yes,,,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_044734065.1/,"https://api.ncbi.nlm.nih.gov/datasets/v2/genome/accession/GCA_044734065.1/download?include_annotation_type=GENOME_FASTA,GENOME_GFF,RNA_FASTA,PROT_FASTA&filename=GCA_044734065.1.zip","datasets download genome accession GCA_044734065.1 --include gff3,rna,protein,genome",https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1160031,161.1749531393046,primary
Calvia quattuordecimguttata,Calvia,Coccinellidae,Coccinelloidea,Polyphaga,Coleoptera,ingroup,GCA_964059645.1,icCalQuat4.1,Chromosome,reference genome,844.4,13501844,92850860,58,36.0,yes,NCBI/RefSeq,NCBI,,PRJEB76103,,,,,,,published_open,,,yes,,,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_964059645.1/,"https://api.ncbi.nlm.nih.gov/datasets/v2/genome/accession/GCA_964059645.1/download?include_annotation_type=GENOME_FASTA,GENOME_GFF,RNA_FASTA,PROT_FASTA&filename=GCA_964059645.1.zip","datasets download genome accession GCA_964059645.1 --include gff3,rna,protein,genome",https://www.ncbi.nlm.nih.gov/bioproject/PRJEB76103,209.67785930601644,primary
Cantharis decipiens,Cantharis,Cantharidae,Elateroidea,Polyphaga,Coleoptera,ingroup,GCA_965642435.1,icCanDeci3.1,Chromosome,reference genome,355.23,2185536,34757274,747,30.5,yes,NCBI/RefSeq,NCBI,,PRJEB93841,,,,,,,published_open,,,yes,,,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_965642435.1/,"https://api.ncbi.nlm.nih.gov/datasets/v2/genome/accession/GCA_965642435.1/download?include_annotation_type=GENOME_FASTA,GENOME_GFF,RNA_FASTA,PROT_FASTA&filename=GCA_965642435.1.zip","datasets download genome accession GCA_965642435.1 --include gff3,rna,protein,genome",https://www.ncbi.nlm.nih.gov/bioproject/PRJEB93841,205.41045707558493,primary
Cantharis flavilabris,Cantharis,Cantharidae,Elateroidea,Polyphaga,Coleoptera,ingroup,GCA_949152465.1,icCanFlav1.1,Chromosome,reference genome,348.29,10505090,47548398,26,31.5,yes,NCBI/RefSeq,NCBI,,PRJEB59846,,,,,,,published_open,,,yes,,,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_949152465.1/,"https://api.ncbi.nlm.nih.gov/datasets/v2/genome/accession/GCA_949152465.1/download?include_annotation_type=GENOME_FASTA,GENOME_GFF,RNA_FASTA,PROT_FASTA&filename=GCA_949152465.1.zip","datasets download genome accession GCA_949152465.1 --include gff3,rna,protein,genome",https://www.ncbi.nlm.nih.gov/bioproject/PRJEB59846,206.7713588927595,primary
Cantharis lateralis,Cantharis,Cantharidae,Elateroidea,Polyphaga,Coleoptera,ingroup,GCA_963170105.1,icCanLate1.1,Chromosome,reference genome,332.18,10697386,43798968,50,30.0,yes,NCBI/RefSeq,NCBI,,PRJEB64909,,,,,,,published_open,,,yes,,,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_963170105.1/,"https://api.ncbi.nlm.nih.gov/datasets/v2/genome/accession/GCA_963170105.1/download?include_annotation_type=GENOME_FASTA,GENOME_GFF,RNA_FASTA,PROT_FASTA&filename=GCA_963170105.1.zip","datasets download genome accession GCA_963170105.1 --include gff3,rna,protein,genome",https://www.ncbi.nlm.nih.gov/bioproject/PRJEB64909,206.41463877691646,primary
Cantharis nigra,Cantharis,Cantharidae,Elateroidea,Polyphaga,Coleoptera,ingroup,GCA_958510845.1,icCanNigr2.1,Chromosome,reference genome,397.8,10907000,41397323,71,30.0,yes,NCBI/RefSeq,NCBI,,PRJEB64391,,,,,,,published_open,,,yes,,,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_958510845.1/,"https://api.ncbi.nlm.nih.gov/datasets/v2/genome/accession/GCA_958510845.1/download?include_annotation_type=GENOME_FASTA,GENOME_GFF,RNA_FASTA,PROT_FASTA&filename=GCA_958510845.1.zip","datasets download genome accession GCA_958510845.1 --include gff3,rna,protein,genome",https://www.ncbi.nlm.nih.gov/bioproject/PRJEB64391,206.1697225793448,primary
Cantharis pallida,Cantharis,Cantharidae,Elateroidea,Polyphaga,Coleoptera,ingroup,GCA_978407175.1,icCanPall1.hap1.1,Chromosome,reference genome,464.23,7578394,51773863,268,31.5,yes,NCBI/RefSeq,NCBI,,PRJEB107253,,,,,,,published_open,,,yes,,,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_978407175.1/,"https://api.ncbi.nlm.nih.gov/datasets/v2/genome/accession/GCA_978407175.1/download?include_annotation_type=GENOME_FASTA,GENOME_GFF,RNA_FASTA,PROT_FASTA&filename=GCA_978407175.1.zip","datasets download genome accession GCA_978407175.1 --include gff3,rna,protein,genome",https://www.ncbi.nlm.nih.gov/bioproject/PRJEB107253,207.14110570177795,primary
Cantharis rufa,Cantharis,Cantharidae,Elateroidea,Polyphaga,Coleoptera,ingroup,GCA_947369205.1,icCanRufa1.1,Chromosome,reference genome,355.31,10477904,50306085,18,31.5,yes,NCBI/RefSeq,NCBI,,PRJEB57708,,,,,,,published_open,,,yes,,,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_947369205.1/,"https://api.ncbi.nlm.nih.gov/datasets/v2/genome/accession/GCA_947369205.1/download?include_annotation_type=GENOME_FASTA,GENOME_GFF,RNA_FASTA,PROT_FASTA&filename=GCA_947369205.1.zip","datasets download genome accession GCA_947369205.1 --include gff3,rna,protein,genome",https://www.ncbi.nlm.nih.gov/bioproject/PRJEB57708,207.0162052028629,primary
Cantharis rustica,Cantharis,Cantharidae,Elateroidea,Polyphaga,Coleoptera,ingroup,GCA_911387805.1,icCanRust1.1,Chromosome,reference genome,445.92,17823022,57811309,17,31.0,yes,NCBI/RefSeq,NCBI,,PRJEB46423,,,,,,,published_open,,,yes,,,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_911387805.1/,"https://api.ncbi.nlm.nih.gov/datasets/v2/genome/accession/GCA_911387805.1/download?include_annotation_type=GENOME_FASTA,GENOME_GFF,RNA_FASTA,PROT_FASTA&filename=GCA_911387805.1.zip","datasets download genome accession GCA_911387805.1 --include gff3,rna,protein,genome",https://www.ncbi.nlm.nih.gov/bioproject/PRJEB46423,207.62012803055114,primary
Canthon chalcites,Canthon,Scarabaeidae,Scarabaeoidea,Polyphaga,Coleoptera,ingroup,GCA_054832385.1,ASM5483238v1,Scaffold,reference genome,555.82,2253537,2284547,834,33.5,yes,NCBI/RefSeq,NCBI,,PRJNA1304937,,,,,,,published_open,,,yes,,,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_054832385.1/,"https://api.ncbi.nlm.nih.gov/datasets/v2/genome/accession/GCA_054832385.1/download?include_annotation_type=GENOME_FASTA,GENOME_GFF,RNA_FASTA,PROT_FASTA&filename=GCA_054832385.1.zip","datasets download genome accession GCA_054832385.1 --include gff3,rna,protein,genome",https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1304937,153.58800097226776,primary
Carabus banonii,Carabus,Carabidae,Caraboidea,Adephaga,Coleoptera,ingroup,GCA_964291765.2,icCarBano7.2,Chromosome,reference genome,207.77,7491500,14906334,17,35.5,yes,NCBI/RefSeq,NCBI,,PRJEB77255,,,,,,,published_open,,,yes,,,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_964291765.2/,"https://api.ncbi.nlm.nih.gov/datasets/v2/genome/accession/GCA_964291765.2/download?include_annotation_type=GENOME_FASTA,GENOME_GFF,RNA_FASTA,PROT_FASTA&filename=GCA_964291765.2.zip","datasets download genome accession GCA_964291765.2 --include gff3,rna,protein,genome",https://www.ncbi.nlm.nih.gov/bioproject/PRJEB77255,201.73370848058318,primary
Carabus blaptoides fortunei,Carabus,Carabidae,Caraboidea,Adephaga,Coleoptera,ingroup,GCA_050785175.1,Cbla_1.0,Scaffold,reference genome,187.95,163054,2655912,42502,34.5,yes,NCBI/RefSeq,NCBI,,PRJDB5357,,,,,,,published_open,,,yes,,,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_050785175.1/,"https://api.ncbi.nlm.nih.gov/datasets/v2/genome/accession/GCA_050785175.1/download?include_annotation_type=GENOME_FASTA,GENOME_GFF,RNA_FASTA,PROT_FASTA&filename=GCA_050785175.1.zip","datasets download genome accession GCA_050785175.1 --include gff3,rna,protein,genome",https://www.ncbi.nlm.nih.gov/bioproject/PRJDB5357,154.24213681182596,primary
Carabus depressus,Carabus,Carabidae,Caraboidea,Adephaga,Coleoptera,ingroup,GCA_048127345.1,ASM4812734v1,Contig,reference genome,190.42,945386,945386,1569,35.5,yes,NCBI/RefSeq,NCBI,,PRJNA1171461,,,,,,,published_open,,,conditional,,,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_048127345.1/,"https://api.ncbi.nlm.nih.gov/datasets/v2/genome/accession/GCA_048127345.1/download?include_annotation_type=GENOME_FASTA,GENOME_GFF,RNA_FASTA,PROT_FASTA&filename=GCA_048127345.1.zip","datasets download genome accession GCA_048127345.1 --include gff3,rna,protein,genome",https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1171461,109.75609166649181,primary
Carabus esakii,Carabus,Carabidae,Caraboidea,Adephaga,Coleoptera,ingroup,GCA_054785535.1,Cesakii_1.0,Scaffold,reference genome,193.16,41418,2023420,12194,34.5,yes,NCBI/RefSeq,NCBI,,PRJDB5403,,,,,,,published_open,,,yes,,,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_054785535.1/,"https://api.ncbi.nlm.nih.gov/datasets/v2/genome/accession/GCA_054785535.1/download?include_annotation_type=GENOME_FASTA,GENOME_GFF,RNA_FASTA,PROT_FASTA&filename=GCA_054785535.1.zip","datasets download genome accession GCA_054785535.1 --include gff3,rna,protein,genome",https://www.ncbi.nlm.nih.gov/bioproject/PRJDB5403,153.06086038356756,primary
Carabus nemoralis,Carabus,Carabidae,Caraboidea,Adephaga,Coleoptera,ingroup,GCA_977790985.1,icCarNemo1.1,Chromosome,reference genome,237.44,308120,13108008,1349,36.0,yes,NCBI/RefSeq,NCBI,,PRJEB104832,,,,,,,published_open,,,yes,,,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_977790985.1/,"https://api.ncbi.nlm.nih.gov/datasets/v2/genome/accession/GCA_977790985.1/download?include_annotation_type=GENOME_FASTA,GENOME_GFF,RNA_FASTA,PROT_FASTA&filename=GCA_977790985.1.zip","datasets download genome accession GCA_977790985.1 --include gff3,rna,protein,genome",https://www.ncbi.nlm.nih.gov/bioproject/PRJEB104832,201.17536697766394,primary
Carabus problematicus,Carabus,Carabidae,Caraboidea,Adephaga,Coleoptera,ingroup,GCA_963422195.1,icCarProb1.1,Chromosome,reference genome,253.95,4259000,17524069,222,35.0,yes,NCBI/RefSeq,NCBI,,PRJEB65488,,,,,,,published_open,,,yes,,,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_963422195.1/,"https://api.ncbi.nlm.nih.gov/datasets/v2/genome/accession/GCA_963422195.1/download?include_annotation_type=GENOME_FASTA,GENOME_GFF,RNA_FASTA,PROT_FASTA&filename=GCA_963422195.1.zip","datasets download genome accession GCA_963422195.1 --include gff3,rna,protein,genome",https://www.ncbi.nlm.nih.gov/bioproject/PRJEB65488,202.43634954518706,primary
Carabus staehlini,Carabus,Carabidae,Caraboidea,Adephaga,Coleoptera,ingroup,GCA_977013385.1,icCarStae2.1,Chromosome,reference genome,203.42,6325665,14444430,44,34.5,yes,NCBI/RefSeq,NCBI,,PRJEB94624,,,,,,,published_open,,,yes,,,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_977013385.1/,"https://api.ncbi.nlm.nih.gov/datasets/v2/genome/accession/GCA_977013385.1/download?include_annotation_type=GENOME_FASTA,GENOME_GFF,RNA_FASTA,PROT_FASTA&filename=GCA_977013385.1.zip","datasets download genome accession GCA_977013385.1 --include gff3,rna,protein,genome",https://www.ncbi.nlm.nih.gov/bioproject/PRJEB94624,201.59700408572814,primary
Cartodere bifasciata,Cartodere,Latridiidae,Coccinelloidea,Polyphaga,Coleoptera,ingroup,GCA_963920755.1,icCarBifa1.1,Chromosome,reference genome,178.08,3482428,20851529,23,32.0,yes,NCBI/RefSeq,NCBI,,PRJEB71555,,,,,,,published_open,,,yes,,,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_963920755.1/,"https://api.ncbi.nlm.nih.gov/datasets/v2/genome/accession/GCA_963920755.1/download?include_annotation_type=GENOME_FASTA,GENOME_GFF,RNA_FASTA,PROT_FASTA&filename=GCA_963920755.1.zip","datasets download genome accession GCA_963920755.1 --include gff3,rna,protein,genome",https://www.ncbi.nlm.nih.gov/bioproject/PRJEB71555,203.1913790640407,primary
Catharsius molossus,Catharsius,Scarabaeidae,Scarabaeoidea,Polyphaga,Coleoptera,ingroup,GCA_051362485.1,ASM5136248v1,Chromosome,reference genome,1536.64,54965564,164062652,16,35.5,yes,NCBI/RefSeq,NCBI,,PRJNA1265283,,,,,,,published_open,,,yes,,,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_051362485.1/,"https://api.ncbi.nlm.nih.gov/datasets/v2/genome/accession/GCA_051362485.1/download?include_annotation_type=GENOME_FASTA,GENOME_GFF,RNA_FASTA,PROT_FASTA&filename=GCA_051362485.1.zip","datasets download genome accession GCA_051362485.1 --include gff3,rna,protein,genome",https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1265283,212.15009727449362,primary
Catops nigricans,Catops,Leiodidae,Staphylinoidea,Polyphaga,Coleoptera,ingroup,GCA_965642125.1,icCatNigr1.hap1.1,Chromosome,reference genome,209.7,1705193,18718905,433,31.0,yes,NCBI/RefSeq,NCBI,,PRJEB92392,,,,,,,published_open,,,yes,,,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_965642125.1/,"https://api.ncbi.nlm.nih.gov/datasets/v2/genome/accession/GCA_965642125.1/download?include_annotation_type=GENOME_FASTA,GENOME_GFF,RNA_FASTA,PROT_FASTA&filename=GCA_965642125.1.zip","datasets download genome accession GCA_965642125.1 --include gff3,rna,protein,genome",https://www.ncbi.nlm.nih.gov/bioproject/PRJEB92392,202.72280440215837,primary
Cedrorum azoricus,Cedrorum,Carabidae,Caraboidea,Adephaga,Coleoptera,ingroup,GCA_965287095.1,icCedAzor3.1,Chromosome,reference genome,567.88,10971072,28853378,302,29.0,yes,NCBI/RefSeq,NCBI,,PRJEB84164,,,,,,,published_open,,,yes,,,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_965287095.1/,"https://api.ncbi.nlm.nih.gov/datasets/v2/genome/accession/GCA_965287095.1/download?include_annotation_type=GENOME_FASTA,GENOME_GFF,RNA_FASTA,PROT_FASTA&filename=GCA_965287095.1.zip","datasets download genome accession GCA_965287095.1 --include gff3,rna,protein,genome",https://www.ncbi.nlm.nih.gov/bioproject/PRJEB84164,204.60196665355858,primary
Centroclisis negligens,Centroclisis,Myrmeleontidae,,Myrmeleontiformia,Neuroptera,outgroup,GCA_055698825.1,ASM5569882v1,Scaffold,reference genome,453.87,4935,5126,117477,26.0,yes,NCBI/RefSeq,NCBI,,PRJNA1403738,,,,,,,published_open,,,no,,,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_055698825.1/,"https://api.ncbi.nlm.nih.gov/datasets/v2/genome/accession/GCA_055698825.1/download?include_annotation_type=GENOME_FASTA,GENOME_GFF,RNA_FASTA,PROT_FASTA&filename=GCA_055698825.1.zip","datasets download genome accession GCA_055698825.1 --include gff3,rna,protein,genome",https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1403738,127.09778601848225,primary
Cetonia aurata,Cetonia,Scarabaeidae,Scarabaeoidea,Polyphaga,Coleoptera,ingroup,GCA_949128085.1,icCetAura1.1,Chromosome,reference genome,479.63,8085049,45601692,112,35.0,yes,NCBI/RefSeq,NCBI,,PRJEB59502,,,,,,,published_open,,,yes,,,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_949128085.1/,"https://api.ncbi.nlm.nih.gov/datasets/v2/genome/accession/GCA_949128085.1/download?include_annotation_type=GENOME_FASTA,GENOME_GFF,RNA_FASTA,PROT_FASTA&filename=GCA_949128085.1.zip","datasets download genome accession GCA_949128085.1 --include gff3,rna,protein,genome",https://www.ncbi.nlm.nih.gov/bioproject/PRJEB59502,206.58980956976512,primary
Ceutorhynchus assimilis,Ceutorhynchus,Curculionidae,Curculionoidea,Polyphaga,Coleoptera,ingroup,GCA_917834065.1,PGI_CEUTPL_v4,Chromosome,reference genome,674.95,3538480,55466945,44,35.5,yes,NCBI/RefSeq,NCBI,,PRJEB47903,,,,,,,published_open,,,yes,,,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_917834065.1/,"https://api.ncbi.nlm.nih.gov/datasets/v2/genome/accession/GCA_917834065.1/download?include_annotation_type=GENOME_FASTA,GENOME_GFF,RNA_FASTA,PROT_FASTA&filename=GCA_917834065.1.zip","datasets download genome accession GCA_917834065.1 --include gff3,rna,protein,genome",https://www.ncbi.nlm.nih.gov/bioproject/PRJEB47903,207.4403424653181,primary
Ceutorhynchus obstrictus,Ceutorhynchus,Curculionidae,Curculionoidea,Polyphaga,Coleoptera,ingroup,GCA_965178145.1,icCeuObst1.1,Chromosome,reference genome,728.81,4747246,56416078,193,35.0,yes,NCBI/RefSeq,NCBI,,PRJEB86217,,,,,,,published_open,,,yes,,,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_965178145.1/,"https://api.ncbi.nlm.nih.gov/datasets/v2/genome/accession/GCA_965178145.1/download?include_annotation_type=GENOME_FASTA,GENOME_GFF,RNA_FASTA,PROT_FASTA&filename=GCA_965178145.1.zip","datasets download genome accession GCA_965178145.1 --include gff3,rna,protein,genome",https://www.ncbi.nlm.nih.gov/bioproject/PRJEB86217,207.514028910685,primary
Chaetocnema hortensis,Chaetocnema,Chrysomelidae,Chrysomeloidea,Polyphaga,Coleoptera,ingroup,GCA_965653155.1,icChaHort1.hap1.1,Chromosome,reference genome,384.62,497099,40798368,802,31.5,yes,NCBI/RefSeq,NCBI,,PRJEB94557,,,,,,,published_open,,,yes,,,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_965653155.1/,"https://api.ncbi.nlm.nih.gov/datasets/v2/genome/accession/GCA_965653155.1/download?include_annotation_type=GENOME_FASTA,GENOME_GFF,RNA_FASTA,PROT_FASTA&filename=GCA_965653155.1.zip","datasets download genome accession GCA_965653155.1 --include gff3,rna,protein,genome",https://www.ncbi.nlm.nih.gov/bioproject/PRJEB94557,206.10642790963158,primary
Chrysina gloriosa,Chrysina,Scarabaeidae,Scarabaeoidea,Polyphaga,Coleoptera,ingroup,GCA_038088585.1,Cglo_1.0,Chromosome,reference genome,642.27,3880439,72353455,454,36.0,yes,NCBI/RefSeq,NCBI,,PRJNA1043134,,,,,,,published_open,,,yes,,,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_038088585.1/,"https://api.ncbi.nlm.nih.gov/datasets/v2/genome/accession/GCA_038088585.1/download?include_annotation_type=GENOME_FASTA,GENOME_GFF,RNA_FASTA,PROT_FASTA&filename=GCA_038088585.1.zip","datasets download genome accession GCA_038088585.1 --include gff3,rna,protein,genome",https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1043134,208.59459274247163,primary
Chrysina resplendens,Chrysina,Scarabaeidae,Scarabaeoidea,Polyphaga,Coleoptera,ingroup,GCA_010091895.2,ASM1009189v2,Scaffold,reference genome,68.25,852,860,77949,50.0,yes,NCBI/RefSeq,NCBI,,PRJNA341359,,,,,,,published_open,,,no,,,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_010091895.2/,"https://api.ncbi.nlm.nih.gov/datasets/v2/genome/accession/GCA_010091895.2/download?include_annotation_type=GENOME_FASTA,GENOME_GFF,RNA_FASTA,PROT_FASTA&filename=GCA_010091895.2.zip","datasets download genome accession GCA_010091895.2 --include gff3,rna,protein,genome",https://www.ncbi.nlm.nih.gov/bioproject/PRJNA341359,119.34498451243567,primary
