species_name,genus,family,superfamily,suborder,order,role,assembly_accession,assembly_name,assembly_level,refseq_category,genome_size_mb,contig_N50,scaffold_N50,number_of_scaffolds,gc_percent,gene_annotation_available,annotation_source,primary_source,secondary_source,ncbi_bioproject,ncbi_biosample,submission_date,publication_doi,publication_year,pubmed_id,citation_short,restriction_status,restriction_notes,data_generating_consortium,include_recommended,conflict_flag,notes,ncbi_assembly_url,ncbi_download_url,ncbi_datasets_command,bioproject_url
Ampedus sanguinolentus,Ampedus,Elateridae,Elateroidea,Polyphaga,Coleoptera,ingroup,GCA_964234815.1,icAmpSanu1.hap1.1,Chromosome,reference genome,1574.76,6816912,146597239,346,33,yes,NCBI/RefSeq,NCBI,,PRJEB79085,,,,,,,published_open,,,yes,,,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_964234815.1/,"https://api.ncbi.nlm.nih.gov/datasets/v2/genome/accession/GCA_964234815.1/download?include_annotation_type=GENOME_FASTA,GENOME_GFF,RNA_FASTA,PROT_FASTA&filename=GCA_964234815.1.zip","datasets download genome accession GCA_964234815.1 --include gff3,rna,protein,genome",https://www.ncbi.nlm.nih.gov/bioproject/PRJEB79085
Galerucella nymphaeae,Galerucella,Chrysomelidae,Chrysomeloidea,Polyphaga,Coleoptera,ingroup,GCA_963978555.1,icGalNymp1.1,Chromosome,reference genome,350.17,6699100,20508763,32,33.5,yes,NCBI/RefSeq,NCBI,,PRJEB73618,,,,,,,published_open,,,yes,,,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_963978555.1/,"https://api.ncbi.nlm.nih.gov/datasets/v2/genome/accession/GCA_963978555.1/download?include_annotation_type=GENOME_FASTA,GENOME_GFF,RNA_FASTA,PROT_FASTA&filename=GCA_963978555.1.zip","datasets download genome accession GCA_963978555.1 --include gff3,rna,protein,genome",https://www.ncbi.nlm.nih.gov/bioproject/PRJEB73618
Phyllobius virideaeris,Phyllobius,Curculionidae,Curculionoidea,Polyphaga,Coleoptera,ingroup,GCA_965643005.1,icPhyViri1.hap2.1,Chromosome,reference genome,1178.12,6641151,104084948,386,33,yes,NCBI/RefSeq,NCBI,,PRJEB93899,,,,,,,published_open,,,yes,,,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_965643005.1/,"https://api.ncbi.nlm.nih.gov/datasets/v2/genome/accession/GCA_965643005.1/download?include_annotation_type=GENOME_FASTA,GENOME_GFF,RNA_FASTA,PROT_FASTA&filename=GCA_965643005.1.zip","datasets download genome accession GCA_965643005.1 --include gff3,rna,protein,genome",https://www.ncbi.nlm.nih.gov/bioproject/PRJEB93899
Limonius poneli,Limonius,Elateridae,Elateroidea,Polyphaga,Coleoptera,ingroup,GCA_965119595.1,icLimPone1.hap1.1,Chromosome,reference genome,1351.61,6595346,136717598,172,34,yes,NCBI/RefSeq,NCBI,,PRJEB85520,,,,,,,published_open,,,yes,,,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_965119595.1/,"https://api.ncbi.nlm.nih.gov/datasets/v2/genome/accession/GCA_965119595.1/download?include_annotation_type=GENOME_FASTA,GENOME_GFF,RNA_FASTA,PROT_FASTA&filename=GCA_965119595.1.zip","datasets download genome accession GCA_965119595.1 --include gff3,rna,protein,genome",https://www.ncbi.nlm.nih.gov/bioproject/PRJEB85520
Calathus fuscipes,Calathus,Carabidae,Caraboidea,Adephaga,Coleoptera,ingroup,GCA_978122415.1,icCalFusc1.hap1.1,Chromosome,reference genome,1037.85,6459000,57823483,255,31,yes,NCBI/RefSeq,NCBI,,PRJEB107157,,,,,,,published_open,,,yes,,,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_978122415.1/,"https://api.ncbi.nlm.nih.gov/datasets/v2/genome/accession/GCA_978122415.1/download?include_annotation_type=GENOME_FASTA,GENOME_GFF,RNA_FASTA,PROT_FASTA&filename=GCA_978122415.1.zip","datasets download genome accession GCA_978122415.1 --include gff3,rna,protein,genome",https://www.ncbi.nlm.nih.gov/bioproject/PRJEB107157
Coccidula rufa,Coccidula,Coccinellidae,Coccinelloidea,Polyphaga,Coleoptera,ingroup,GCA_965178175.1,icCocRufa1.hap1.1,Chromosome,reference genome,1068.72,6434000,120539302,1100,34,yes,NCBI/RefSeq,NCBI,,PRJEB86219,,,,,,,published_open,,,yes,,,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_965178175.1/,"https://api.ncbi.nlm.nih.gov/datasets/v2/genome/accession/GCA_965178175.1/download?include_annotation_type=GENOME_FASTA,GENOME_GFF,RNA_FASTA,PROT_FASTA&filename=GCA_965178175.1.zip","datasets download genome accession GCA_965178175.1 --include gff3,rna,protein,genome",https://www.ncbi.nlm.nih.gov/bioproject/PRJEB86219
Actenicerus siaelandicus,Actenicerus,Elateridae,Elateroidea,Polyphaga,Coleoptera,ingroup,GCA_964234755.1,icActSiae1.1,Chromosome,reference genome,854.91,6386061,83355646,373,35,yes,NCBI/RefSeq,NCBI,,PRJEB79055,,,,,,,published_open,,,yes,,,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_964234755.1/,"https://api.ncbi.nlm.nih.gov/datasets/v2/genome/accession/GCA_964234755.1/download?include_annotation_type=GENOME_FASTA,GENOME_GFF,RNA_FASTA,PROT_FASTA&filename=GCA_964234755.1.zip","datasets download genome accession GCA_964234755.1 --include gff3,rna,protein,genome",https://www.ncbi.nlm.nih.gov/bioproject/PRJEB79055
Amara aenea,Amara,Carabidae,Caraboidea,Adephaga,Coleoptera,ingroup,GCA_973350105.1,icAmaAene1.hap1.1,Chromosome,reference genome,880.37,6359709,46477551,884,30.5,yes,NCBI/RefSeq,NCBI,,PRJEB96435,,,,,,,published_open,,,yes,,,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_973350105.1/,"https://api.ncbi.nlm.nih.gov/datasets/v2/genome/accession/GCA_973350105.1/download?include_annotation_type=GENOME_FASTA,GENOME_GFF,RNA_FASTA,PROT_FASTA&filename=GCA_973350105.1.zip","datasets download genome accession GCA_973350105.1 --include gff3,rna,protein,genome",https://www.ncbi.nlm.nih.gov/bioproject/PRJEB96435
Cryptorhynchus lapathi,Cryptorhynchus,Curculionidae,Curculionoidea,Polyphaga,Coleoptera,ingroup,GCA_965641385.1,icCryLapa1.hap1.1,Chromosome,reference genome,478.88,6329822,27190077,177,35,yes,NCBI/RefSeq,NCBI,,PRJEB91872,,,,,,,published_open,,,yes,,,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_965641385.1/,"https://api.ncbi.nlm.nih.gov/datasets/v2/genome/accession/GCA_965641385.1/download?include_annotation_type=GENOME_FASTA,GENOME_GFF,RNA_FASTA,PROT_FASTA&filename=GCA_965641385.1.zip","datasets download genome accession GCA_965641385.1 --include gff3,rna,protein,genome",https://www.ncbi.nlm.nih.gov/bioproject/PRJEB91872
Carabus staehlini,Carabus,Carabidae,Caraboidea,Adephaga,Coleoptera,ingroup,GCA_977013385.1,icCarStae2.1,Chromosome,reference genome,203.42,6325665,14444430,44,34.5,yes,NCBI/RefSeq,NCBI,,PRJEB94624,,,,,,,published_open,,,yes,,,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_977013385.1/,"https://api.ncbi.nlm.nih.gov/datasets/v2/genome/accession/GCA_977013385.1/download?include_annotation_type=GENOME_FASTA,GENOME_GFF,RNA_FASTA,PROT_FASTA&filename=GCA_977013385.1.zip","datasets download genome accession GCA_977013385.1 --include gff3,rna,protein,genome",https://www.ncbi.nlm.nih.gov/bioproject/PRJEB94624
Thanatophilus sinuatus,Thanatophilus,Silphidae,Staphylinoidea,Polyphaga,Coleoptera,ingroup,GCA_051122355.1,ASM5112235v1,Chromosome,reference genome,288.95,6249324,18969000,28,32.5,yes,NCBI/RefSeq,NCBI,,PRJNA1195369,,,,,,,published_open,,,yes,,,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_051122355.1/,"https://api.ncbi.nlm.nih.gov/datasets/v2/genome/accession/GCA_051122355.1/download?include_annotation_type=GENOME_FASTA,GENOME_GFF,RNA_FASTA,PROT_FASTA&filename=GCA_051122355.1.zip","datasets download genome accession GCA_051122355.1 --include gff3,rna,protein,genome",https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1195369
Staphylinus erythropterus,Staphylinus,Staphylinidae,Staphylinoidea,Polyphaga,Coleoptera,ingroup,GCA_964211955.1,icStaEryt1.hap1.1,Chromosome,reference genome,1412.48,6140586,75443792,1743,33.5,yes,NCBI/RefSeq,NCBI,,PRJEB78587,,,,,,,published_open,,,yes,,,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_964211955.1/,"https://api.ncbi.nlm.nih.gov/datasets/v2/genome/accession/GCA_964211955.1/download?include_annotation_type=GENOME_FASTA,GENOME_GFF,RNA_FASTA,PROT_FASTA&filename=GCA_964211955.1.zip","datasets download genome accession GCA_964211955.1 --include gff3,rna,protein,genome",https://www.ncbi.nlm.nih.gov/bioproject/PRJEB78587
Kibakoganea tamdaoensis,Kibakoganea,Scarabaeidae,Scarabaeoidea,Polyphaga,Coleoptera,ingroup,GCA_046237675.1,kiba_001,Chromosome,reference genome,605.33,6125000,61839633,43,36,yes,NCBI/RefSeq,NCBI,,PRJNA1188715,,,,,,,published_open,,,yes,,,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_046237675.1/,"https://api.ncbi.nlm.nih.gov/datasets/v2/genome/accession/GCA_046237675.1/download?include_annotation_type=GENOME_FASTA,GENOME_GFF,RNA_FASTA,PROT_FASTA&filename=GCA_046237675.1.zip","datasets download genome accession GCA_046237675.1 --include gff3,rna,protein,genome",https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1188715
Quedius lateralis,Quedius,Staphylinidae,Staphylinoidea,Polyphaga,Coleoptera,ingroup,GCA_964338995.1,icQueLate1.hap1.1,Chromosome,reference genome,753.01,6014424,45398306,431,35.5,yes,NCBI/RefSeq,NCBI,,PRJEB82339,,,,,,,published_open,,,yes,,,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_964338995.1/,"https://api.ncbi.nlm.nih.gov/datasets/v2/genome/accession/GCA_964338995.1/download?include_annotation_type=GENOME_FASTA,GENOME_GFF,RNA_FASTA,PROT_FASTA&filename=GCA_964338995.1.zip","datasets download genome accession GCA_964338995.1 --include gff3,rna,protein,genome",https://www.ncbi.nlm.nih.gov/bioproject/PRJEB82339
Phratora vitellinae,Phratora,Chrysomelidae,Chrysomeloidea,Polyphaga,Coleoptera,ingroup,GCA_977071015.1,icPhrVite1.1,Chromosome,reference genome,565.07,5970765,33983073,48,36,yes,NCBI/RefSeq,NCBI,,PRJEB104225,,,,,,,published_open,,,yes,,,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_977071015.1/,"https://api.ncbi.nlm.nih.gov/datasets/v2/genome/accession/GCA_977071015.1/download?include_annotation_type=GENOME_FASTA,GENOME_GFF,RNA_FASTA,PROT_FASTA&filename=GCA_977071015.1.zip","datasets download genome accession GCA_977071015.1 --include gff3,rna,protein,genome",https://www.ncbi.nlm.nih.gov/bioproject/PRJEB104225
Platyrhinus resinosus,Platyrhinus,Anthribidae,Curculionoidea,Polyphaga,Coleoptera,ingroup,GCA_977061565.1,icPlaResi1.hap1.1,Chromosome,reference genome,764.04,5966951,77122923,278,37,yes,NCBI/RefSeq,NCBI,,PRJEB102770,,,,,,,published_open,,,yes,,,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_977061565.1/,"https://api.ncbi.nlm.nih.gov/datasets/v2/genome/accession/GCA_977061565.1/download?include_annotation_type=GENOME_FASTA,GENOME_GFF,RNA_FASTA,PROT_FASTA&filename=GCA_977061565.1.zip","datasets download genome accession GCA_977061565.1 --include gff3,rna,protein,genome",https://www.ncbi.nlm.nih.gov/bioproject/PRJEB102770
Prionocyphon serricornis,Prionocyphon,Scirtidae,Scirtoidea,Polyphaga,Coleoptera,ingroup,GCA_965648515.1,icPriSerr1.hap1.1,Chromosome,reference genome,433.11,5823847,39608670,187,35.5,yes,NCBI/RefSeq,NCBI,,PRJEB94376,,,,,,,published_open,,,yes,,,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_965648515.1/,"https://api.ncbi.nlm.nih.gov/datasets/v2/genome/accession/GCA_965648515.1/download?include_annotation_type=GENOME_FASTA,GENOME_GFF,RNA_FASTA,PROT_FASTA&filename=GCA_965648515.1.zip","datasets download genome accession GCA_965648515.1 --include gff3,rna,protein,genome",https://www.ncbi.nlm.nih.gov/bioproject/PRJEB94376
Pediacus dermestoides,Pediacus,Cucujidae,Cucujoidea,Polyphaga,Coleoptera,ingroup,GCA_963942485.1,icPedDerm1.1,Chromosome,reference genome,235.02,5783852,31898251,107,32,yes,NCBI/RefSeq,NCBI,,PRJEB72467,,,,,,,published_open,,,yes,,,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_963942485.1/,"https://api.ncbi.nlm.nih.gov/datasets/v2/genome/accession/GCA_963942485.1/download?include_annotation_type=GENOME_FASTA,GENOME_GFF,RNA_FASTA,PROT_FASTA&filename=GCA_963942485.1.zip","datasets download genome accession GCA_963942485.1 --include gff3,rna,protein,genome",https://www.ncbi.nlm.nih.gov/bioproject/PRJEB72467
Leiosoma deflexum,Leiosoma,Curculionidae,Curculionoidea,Polyphaga,Coleoptera,ingroup,GCA_965260835.1,icLeiDefl1.hap1.1,Chromosome,reference genome,628.17,5745900,42277763,188,34,yes,NCBI/RefSeq,NCBI,,PRJEB88798,,,,,,,published_open,,,yes,,,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_965260835.1/,"https://api.ncbi.nlm.nih.gov/datasets/v2/genome/accession/GCA_965260835.1/download?include_annotation_type=GENOME_FASTA,GENOME_GFF,RNA_FASTA,PROT_FASTA&filename=GCA_965260835.1.zip","datasets download genome accession GCA_965260835.1 --include gff3,rna,protein,genome",https://www.ncbi.nlm.nih.gov/bioproject/PRJEB88798
Bitoma crenata,Bitoma,Zopheridae,Tenebrionoidea,Polyphaga,Coleoptera,ingroup,GCA_964656825.2,icBitCren1.2,Chromosome,reference genome,154.47,5672891,17562620,43,34,yes,NCBI/RefSeq,NCBI,,PRJEB83598,,,,,,,published_open,,,yes,,,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_964656825.2/,"https://api.ncbi.nlm.nih.gov/datasets/v2/genome/accession/GCA_964656825.2/download?include_annotation_type=GENOME_FASTA,GENOME_GFF,RNA_FASTA,PROT_FASTA&filename=GCA_964656825.2.zip","datasets download genome accession GCA_964656825.2 --include gff3,rna,protein,genome",https://www.ncbi.nlm.nih.gov/bioproject/PRJEB83598
Opilo mollis,Opilo,Cleridae,Cleroidea,Polyphaga,Coleoptera,ingroup,GCA_964338635.1,icOpiMoll1.hap1.1,Chromosome,reference genome,1597.79,5501207,173272706,412,35.5,yes,NCBI/RefSeq,NCBI,,PRJEB82306,,,,,,,published_open,,,yes,,,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_964338635.1/,"https://api.ncbi.nlm.nih.gov/datasets/v2/genome/accession/GCA_964338635.1/download?include_annotation_type=GENOME_FASTA,GENOME_GFF,RNA_FASTA,PROT_FASTA&filename=GCA_964338635.1.zip","datasets download genome accession GCA_964338635.1 --include gff3,rna,protein,genome",https://www.ncbi.nlm.nih.gov/bioproject/PRJEB82306
Phaleria cadaverina,Phaleria,Tenebrionidae,Tenebrionoidea,Polyphaga,Coleoptera,ingroup,GCA_977013135.1,icPhaCada2.1,Chromosome,reference genome,367.34,5469000,22616628,185,27,yes,NCBI/RefSeq,NCBI,,PRJEB100766,,,,,,,published_open,,,yes,,,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_977013135.1/,"https://api.ncbi.nlm.nih.gov/datasets/v2/genome/accession/GCA_977013135.1/download?include_annotation_type=GENOME_FASTA,GENOME_GFF,RNA_FASTA,PROT_FASTA&filename=GCA_977013135.1.zip","datasets download genome accession GCA_977013135.1 --include gff3,rna,protein,genome",https://www.ncbi.nlm.nih.gov/bioproject/PRJEB100766
Notoxus monoceros,Notoxus,Anthicidae,Tenebrionoidea,Polyphaga,Coleoptera,ingroup,GCA_965276455.1,icNotMono1.hap1.1,Chromosome,reference genome,1173.06,5447211,130424048,719,32,yes,NCBI/RefSeq,NCBI,,PRJEB89052,,,,,,,published_open,,,yes,,,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_965276455.1/,"https://api.ncbi.nlm.nih.gov/datasets/v2/genome/accession/GCA_965276455.1/download?include_annotation_type=GENOME_FASTA,GENOME_GFF,RNA_FASTA,PROT_FASTA&filename=GCA_965276455.1.zip","datasets download genome accession GCA_965276455.1 --include gff3,rna,protein,genome",https://www.ncbi.nlm.nih.gov/bioproject/PRJEB89052
Lasiorhynchites cavifrons,Lasiorhynchites,Attelabidae,Curculionoidea,Polyphaga,Coleoptera,ingroup,GCA_976916715.1,icLasCavi1.hap1.1,Chromosome,reference genome,1354.93,5090000,252295237,173,33.5,yes,NCBI/RefSeq,NCBI,,PRJEB97130,,,,,,,published_open,,,yes,,,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_976916715.1/,"https://api.ncbi.nlm.nih.gov/datasets/v2/genome/accession/GCA_976916715.1/download?include_annotation_type=GENOME_FASTA,GENOME_GFF,RNA_FASTA,PROT_FASTA&filename=GCA_976916715.1.zip","datasets download genome accession GCA_976916715.1 --include gff3,rna,protein,genome",https://www.ncbi.nlm.nih.gov/bioproject/PRJEB97130
Phyllobius argentatus,Phyllobius,Curculionidae,Curculionoidea,Polyphaga,Coleoptera,ingroup,GCA_965654255.1,icPhyArge1.hap1.1,Chromosome,reference genome,977.77,5055939,84168171,243,33,yes,NCBI/RefSeq,NCBI,,PRJEB94830,,,,,,,published_open,,,yes,,,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_965654255.1/,"https://api.ncbi.nlm.nih.gov/datasets/v2/genome/accession/GCA_965654255.1/download?include_annotation_type=GENOME_FASTA,GENOME_GFF,RNA_FASTA,PROT_FASTA&filename=GCA_965654255.1.zip","datasets download genome accession GCA_965654255.1 --include gff3,rna,protein,genome",https://www.ncbi.nlm.nih.gov/bioproject/PRJEB94830
Oedemera lurida,Oedemera,Oedemeridae,Tenebrionoidea,Polyphaga,Coleoptera,ingroup,GCA_979846555.1,icOedLuri2.1,Chromosome,reference genome,1284.76,4848000,88392728,888,39,yes,NCBI/RefSeq,NCBI,,PRJEB108216,,,,,,,published_open,,,yes,,,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_979846555.1/,"https://api.ncbi.nlm.nih.gov/datasets/v2/genome/accession/GCA_979846555.1/download?include_annotation_type=GENOME_FASTA,GENOME_GFF,RNA_FASTA,PROT_FASTA&filename=GCA_979846555.1.zip","datasets download genome accession GCA_979846555.1 --include gff3,rna,protein,genome",https://www.ncbi.nlm.nih.gov/bioproject/PRJEB108216
Clivina fossor,Clivina,Carabidae,Caraboidea,Adephaga,Coleoptera,ingroup,GCA_963966155.1,icCliFoss2.1,Chromosome,reference genome,612.6,4843297,24002212,554,27.5,yes,NCBI/RefSeq,NCBI,,PRJEB72557,,,,,,,published_open,,,yes,,,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_963966155.1/,"https://api.ncbi.nlm.nih.gov/datasets/v2/genome/accession/GCA_963966155.1/download?include_annotation_type=GENOME_FASTA,GENOME_GFF,RNA_FASTA,PROT_FASTA&filename=GCA_963966155.1.zip","datasets download genome accession GCA_963966155.1 --include gff3,rna,protein,genome",https://www.ncbi.nlm.nih.gov/bioproject/PRJEB72557
Aphodius sticticus,Aphodius,Scarabaeidae,Scarabaeoidea,Polyphaga,Coleoptera,ingroup,GCA_963966075.1,icAphStic4.1,Chromosome,reference genome,628.43,4795419,79043068,77,34.5,yes,NCBI/RefSeq,NCBI,,PRJEB72519,,,,,,,published_open,,,yes,,,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_963966075.1/,"https://api.ncbi.nlm.nih.gov/datasets/v2/genome/accession/GCA_963966075.1/download?include_annotation_type=GENOME_FASTA,GENOME_GFF,RNA_FASTA,PROT_FASTA&filename=GCA_963966075.1.zip","datasets download genome accession GCA_963966075.1 --include gff3,rna,protein,genome",https://www.ncbi.nlm.nih.gov/bioproject/PRJEB72519
Crepidodera fulvicornis,Crepidodera,Chrysomelidae,Chrysomeloidea,Polyphaga,Coleoptera,ingroup,GCA_965615805.1,icCreFulv2.1,Chromosome,reference genome,493.21,4757256,123137060,40,32.5,yes,NCBI/RefSeq,NCBI,,PRJEB90966,,,,,,,published_open,,,yes,,,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_965615805.1/,"https://api.ncbi.nlm.nih.gov/datasets/v2/genome/accession/GCA_965615805.1/download?include_annotation_type=GENOME_FASTA,GENOME_GFF,RNA_FASTA,PROT_FASTA&filename=GCA_965615805.1.zip","datasets download genome accession GCA_965615805.1 --include gff3,rna,protein,genome",https://www.ncbi.nlm.nih.gov/bioproject/PRJEB90966
Orchesia undulata,Orchesia,Melandryidae,Tenebrionoidea,Polyphaga,Coleoptera,ingroup,GCA_965642315.1,icOrcUndu1.hap1.1,Chromosome,reference genome,226.79,4513838,26832798,32,38.5,yes,NCBI/RefSeq,NCBI,,PRJEB93772,,,,,,,published_open,,,yes,,,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_965642315.1/,"https://api.ncbi.nlm.nih.gov/datasets/v2/genome/accession/GCA_965642315.1/download?include_annotation_type=GENOME_FASTA,GENOME_GFF,RNA_FASTA,PROT_FASTA&filename=GCA_965642315.1.zip","datasets download genome accession GCA_965642315.1 --include gff3,rna,protein,genome",https://www.ncbi.nlm.nih.gov/bioproject/PRJEB93772
Aphidecta obliterata,Aphidecta,Coccinellidae,Coccinelloidea,Polyphaga,Coleoptera,ingroup,GCA_963966015.1,icAphObli1.1,Chromosome,reference genome,349.56,4463513,38804974,200,36,yes,NCBI/RefSeq,NCBI,,PRJEB72512,,,,,,,published_open,,,yes,,,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_963966015.1/,"https://api.ncbi.nlm.nih.gov/datasets/v2/genome/accession/GCA_963966015.1/download?include_annotation_type=GENOME_FASTA,GENOME_GFF,RNA_FASTA,PROT_FASTA&filename=GCA_963966015.1.zip","datasets download genome accession GCA_963966015.1 --include gff3,rna,protein,genome",https://www.ncbi.nlm.nih.gov/bioproject/PRJEB72512
Bruchidius villosus,Bruchidius,Chrysomelidae,Chrysomeloidea,Polyphaga,Coleoptera,ingroup,GCA_965643515.1,icBruVill1.hap1.1,Chromosome,reference genome,972.79,4347107,100418657,797,37.5,yes,NCBI/RefSeq,NCBI,,PRJEB93937,,,,,,,published_open,,,yes,,,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_965643515.1/,"https://api.ncbi.nlm.nih.gov/datasets/v2/genome/accession/GCA_965643515.1/download?include_annotation_type=GENOME_FASTA,GENOME_GFF,RNA_FASTA,PROT_FASTA&filename=GCA_965643515.1.zip","datasets download genome accession GCA_965643515.1 --include gff3,rna,protein,genome",https://www.ncbi.nlm.nih.gov/bioproject/PRJEB93937
Dailognatha quadricollis,Dailognatha,Tenebrionidae,Tenebrionoidea,Polyphaga,Coleoptera,ingroup,GCA_965183915.1,icDaiQuad1.1,Chromosome,reference genome,524.07,4327000,23571702,322,33.5,yes,NCBI/RefSeq,NCBI,,PRJEB77130,,,,,,,published_open,,,yes,,,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_965183915.1/,"https://api.ncbi.nlm.nih.gov/datasets/v2/genome/accession/GCA_965183915.1/download?include_annotation_type=GENOME_FASTA,GENOME_GFF,RNA_FASTA,PROT_FASTA&filename=GCA_965183915.1.zip","datasets download genome accession GCA_965183915.1 --include gff3,rna,protein,genome",https://www.ncbi.nlm.nih.gov/bioproject/PRJEB77130
Leistus rufomarginatus,Leistus,Carabidae,Caraboidea,Adephaga,Coleoptera,ingroup,GCA_966112595.1,icLeiRufo1.hap1.1,Chromosome,reference genome,264.39,4280190,14695566,78,32.5,yes,NCBI/RefSeq,NCBI,,PRJEB95788,,,,,,,published_open,,,yes,,,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_966112595.1/,"https://api.ncbi.nlm.nih.gov/datasets/v2/genome/accession/GCA_966112595.1/download?include_annotation_type=GENOME_FASTA,GENOME_GFF,RNA_FASTA,PROT_FASTA&filename=GCA_966112595.1.zip","datasets download genome accession GCA_966112595.1 --include gff3,rna,protein,genome",https://www.ncbi.nlm.nih.gov/bioproject/PRJEB95788
Eledona agricola,Eledona,Tenebrionidae,Tenebrionoidea,Polyphaga,Coleoptera,ingroup,GCA_964023215.2,icEleAgri1.2,Chromosome,reference genome,358.83,4218407,22633678,145,35.5,yes,NCBI/RefSeq,NCBI,,PRJEB74607,,,,,,,published_open,,,yes,,,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_964023215.2/,"https://api.ncbi.nlm.nih.gov/datasets/v2/genome/accession/GCA_964023215.2/download?include_annotation_type=GENOME_FASTA,GENOME_GFF,RNA_FASTA,PROT_FASTA&filename=GCA_964023215.2.zip","datasets download genome accession GCA_964023215.2 --include gff3,rna,protein,genome",https://www.ncbi.nlm.nih.gov/bioproject/PRJEB74607
Lordithon lunulatus,Lordithon,Staphylinidae,Staphylinoidea,Polyphaga,Coleoptera,ingroup,GCA_963942505.1,icLorLunu1.1,Chromosome,reference genome,674.37,4216376,56801317,655,39.5,yes,NCBI/RefSeq,NCBI,,PRJEB72465,,,,,,,published_open,,,yes,,,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_963942505.1/,"https://api.ncbi.nlm.nih.gov/datasets/v2/genome/accession/GCA_963942505.1/download?include_annotation_type=GENOME_FASTA,GENOME_GFF,RNA_FASTA,PROT_FASTA&filename=GCA_963942505.1.zip","datasets download genome accession GCA_963942505.1 --include gff3,rna,protein,genome",https://www.ncbi.nlm.nih.gov/bioproject/PRJEB72465
Aphodius granarius,Aphodius,Scarabaeidae,Scarabaeoidea,Polyphaga,Coleoptera,ingroup,GCA_963971325.1,icAphGran1.1,Chromosome,reference genome,397.2,4076730,24500248,590,37.5,yes,NCBI/RefSeq,NCBI,,PRJEB73495,,,,,,,published_open,,,yes,,,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_963971325.1/,"https://api.ncbi.nlm.nih.gov/datasets/v2/genome/accession/GCA_963971325.1/download?include_annotation_type=GENOME_FASTA,GENOME_GFF,RNA_FASTA,PROT_FASTA&filename=GCA_963971325.1.zip","datasets download genome accession GCA_963971325.1 --include gff3,rna,protein,genome",https://www.ncbi.nlm.nih.gov/bioproject/PRJEB73495
Calathus melanocephalus,Calathus,Carabidae,Caraboidea,Adephaga,Coleoptera,ingroup,GCA_966096355.1,icCalMela1.hap1.1,Chromosome,reference genome,966.57,4009859,51750563,1096,31,yes,NCBI/RefSeq,NCBI,,PRJEB95786,,,,,,,published_open,,,yes,,,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_966096355.1/,"https://api.ncbi.nlm.nih.gov/datasets/v2/genome/accession/GCA_966096355.1/download?include_annotation_type=GENOME_FASTA,GENOME_GFF,RNA_FASTA,PROT_FASTA&filename=GCA_966096355.1.zip","datasets download genome accession GCA_966096355.1 --include gff3,rna,protein,genome",https://www.ncbi.nlm.nih.gov/bioproject/PRJEB95786
