organism,taxid,family,suborder,project,assembly_name,status,goat_sequencing_status,accession,wgs_accession,assembly_span_mb,contig_n50,assembly_level,goat_assembly_id,record_type,in_tob_inventory
Eledona agricola,347340,Tenebrionidae,Polyphaga,DToL,icEleAgri1.2 alternate haplotype,alternate_haplotype,published,GCA_964023225.2,CAXIEK02,677.32,264109,Scaffold,GCA_964023225.2,assembly,yes
Elmis aenea,186982,Elmidae,Polyphaga,DToL,icElmAene2.1 alternate haplotype,alternate_haplotype,published,GCA_947652985.1,CANTFI01,469.2,151878,Contig,GCA_947652985.1,assembly,yes
Endomychus armeniacus,3366363,Endomychidae,Polyphaga,DToL,icEndArme8.1,Chromosome,published,GCA_977013105.1,CDRNGE01,577.67,3810340,Chromosome,GCA_977013105.1,assembly,yes
Endomychus coccineus,295833,Endomychidae,Polyphaga,DToL,icEndCocc1.1 alternate haplotype,alternate_haplotype,published,GCA_958510805.1,CAUEHR01,725.37,163229,Contig,GCA_958510805.1,assembly,yes
Enochrus cinctus,1397778,Hydrophilidae,Polyphaga,unknown,ASM3355778v1,Contig,published,GCA_033557785.1,JAUIMW01,150.38,7453,Contig,GCA_033557785.1,assembly,yes
Megalocaria dilatata,511882,Coccinellidae,Polyphaga,unknown,ASM3464243v1,Chromosome,published,GCA_034642435.1,JAWQEH01,767.67,50481700,Chromosome,GCA_034642435.1,assembly,yes
Melanotus villosus,346801,Elateridae,Polyphaga,DToL,icMelVill1.1 alternate haplotype,alternate_haplotype,published,GCA_963082845.1,CAUJCA01,749.99,1247578,Scaffold,GCA_963082845.1,assembly,yes
Melinopterus prodromus,1971315,Scarabaeidae,Polyphaga,DToL,icMelProd3.1 alternate haplotype,alternate_haplotype,published,GCA_964023935.1,CAXIET01,652.43,368429,Scaffold,GCA_964023935.1,assembly,yes
Meloe dianella,2109432,Meloidae,Polyphaga,unknown,ASM2845585v1,Contig,published,GCA_028455855.1,JAPTHL01,100.08,7413378,Contig,GCA_028455855.1,assembly,yes
Melolontha melolontha,7061,Scarabaeidae,Polyphaga,DToL,icMelMelo1.1 alternate haplotype,alternate_haplotype,published,GCA_935421255.1,CAKXYX01,1504.82,787599,Contig,GCA_935421255.1,assembly,yes
Metoecus paradoxus,433052,Ripiphoridae,Polyphaga,DToL,icMetPara1.1 alternate haplotype,alternate_haplotype,published,GCA_965283235.1,CBDINJ01,97.59,217038,Contig,GCA_965283235.1,assembly,yes
Micraspis discolor,420093,Coccinellidae,Polyphaga,unknown,ASM3067411v1,Contig,published,GCA_030674115.1,JARTUT01,523.75,2628608,Contig,GCA_030674115.1,assembly,yes
Microrhagus pygmaeus,445480,Eucnemidae,Polyphaga,DToL,icMicPygm2.1 alternate haplotype,alternate_haplotype,published,GCA_965643775.1,CBFFQD01,445.27,35244,Scaffold,GCA_965643775.1,assembly,yes
Mimaenictus wilsoni,1962800,Staphylinidae,Polyphaga,unknown,ASM2757518v1,Scaffold,published,GCA_027575185.1,JAODAC01,230.3,16453,Scaffold,GCA_027575185.1,assembly,yes
Molorchus minor,1323400,Cerambycidae,Polyphaga,unknown,MPICE_MMI_1,Contig,published,GCA_029963825.1,JAPWTJ01,364.69,140248,Contig,GCA_029963825.1,assembly,yes
Monochamus alternatus,192382,Cerambycidae,Polyphaga,unknown,ASM3711496v1,Chromosome,published,GCA_037114965.1,JBBBDW01,789.5,55988924,Chromosome,GCA_037114965.1,assembly,yes
Monochamus alternatus,192382,Cerambycidae,Polyphaga,unknown,MA_1,Chromosome,published,GCA_035320865.1,JAYMDT01,792.14,82973183,Chromosome,GCA_035320865.1,assembly,yes
Monochamus saltuarius,236074,Cerambycidae,Polyphaga,unknown,ASM2558491v1,Chromosome,published,GCA_025584915.1,JALDAQ01,682.22,4817785,Chromosome,GCA_025584915.1,assembly,yes
Monochamus scutellatus,1323392,Cerambycidae,Polyphaga,unknown,Mscu_1.0,Chromosome,published,GCA_052862855.1,JBPQCT01,813.23,45367300,Chromosome,GCA_052862855.1,assembly,yes
Monochamus sutor,236073,Cerambycidae,Polyphaga,unknown,ASM5275727v1,Complete Genome,published,GCA_052757275.1,JBPYXQ01,789.93,88393016,Complete Genome,GCA_052757275.1,assembly,yes
Monolepta hieroglyphica,327932,Chrysomelidae,Polyphaga,unknown,ASM4551487v1,Chromosome,published,GCA_045514875.1,JBITNU01,2294.53,7255000,Chromosome,GCA_045514875.1,assembly,yes
Monotoma picipes,878149,Monotomidae,Polyphaga,DToL,icMonPici2.1 alternate haplotype,alternate_haplotype,published,GCA_977066045.1,CDRUOS01,164.77,1227421,Scaffold,GCA_977066045.1,assembly,yes
Morimus asper,1265421,Cerambycidae,Polyphaga,DToL,icMorAspe1.1,Chromosome,published,GCA_977013095.1,CDRNGF01,884.71,12620000,Chromosome,GCA_977013095.1,assembly,yes
Morimus orientalis,2974020,Cerambycidae,Polyphaga,DToL,icMorOrie1.1,Chromosome,published,GCA_976714775.1,CDQAQM01,900.77,14040000,Chromosome,GCA_976714775.1,assembly,yes
Mycetophagus atomarius,433053,Mycetophagidae,Polyphaga,DToL,icMycAtom3.1 alternate haplotype,alternate_haplotype,published,GCA_977117645.1,CDSBRX01,133.67,296302,Scaffold,GCA_977117645.1,assembly,yes
Mylabris phalerata,580879,Meloidae,Polyphaga,unknown,SNNU_Mpha_1.0,Contig,published,GCA_020740385.1,JAJEOX01,135.7,5949474,Contig,GCA_020740385.1,assembly,yes
Mylabris quadripunctata,268458,Meloidae,Polyphaga,DToL,icMylQuad2.1,Chromosome,published,GCA_977015545.1,CDRNPD01,190.36,10173611,Chromosome,GCA_977015545.1,assembly,yes
Mylabris sibirica,2921314,Meloidae,Polyphaga,unknown,ASM3977685v1,Chromosome,published,GCA_039776855.1,JBCDWK01,138.45,13495858,Chromosome,GCA_039776855.1,assembly,yes
Mylabris variabilis,268459,Meloidae,Polyphaga,unknown,ASM3746481v1,Scaffold,published,GCA_037464815.1,JAZBGW01,145.43,5346,Scaffold,GCA_037464815.1,assembly,yes
Myllaena sp. GC000078,3032614,Staphylinidae,Polyphaga,unknown,Caltech_Myl_1.0,alternate_haplotype,published,GCA_030264135.1,JARJDR01,119.22,9424,Scaffold,GCA_030264135.1,assembly,yes
Myrrha octodecimguttata,703265,Coccinellidae,Polyphaga,DToL,icMyrOcto1.1 alternate haplotype,alternate_haplotype,published,GCA_958510795.1,CAUEHP01,613.01,1151152,Contig,GCA_958510795.1,assembly,yes
Nacerdes melanura,878157,Oedemeridae,Polyphaga,DToL,icNacMela1.hap2.1,Scaffold,published,GCA_965279815.1,CBDIIR01,525.71,26313290,Scaffold,GCA_965279815.1,assembly,yes
Nadezhdiella cantori,1261038,Cerambycidae,Polyphaga,unknown,ASM5122565v1,Chromosome,published,GCA_051225655.1,JBPCDG01,737.74,1325372,Chromosome,GCA_051225655.1,assembly,yes
Nanos sp. ST009,3053243,Scarabaeidae,Polyphaga,unknown,ASM3219158v1,Contig,published,GCA_032191585.1,JAUIMP01,69.25,277,Contig,GCA_032191585.1,assembly,yes
Nanos vadoni,490873,Scarabaeidae,Polyphaga,unknown,ASM3219156v1,Contig,published,GCA_032191565.1,JAUIMO01,132.44,363,Contig,GCA_032191565.1,assembly,yes
Nebria brevicollis,110024,Carabidae,Adephaga,DToL,icNebBrev1.1 alternate haplotype,alternate_haplotype,published,GCA_944739395.1,CALYJC01,223.35,381756,Scaffold,GCA_944739395.1,assembly,yes
Nebria salina,878211,Carabidae,Adephaga,DToL,icNebSali1.1 alternate haplotype,alternate_haplotype,published,GCA_944039265.1,CALUEJ01,219.58,809889,Contig,GCA_944039265.1,assembly,yes
Nedyus quadrimaculatus,202049,Curculionidae,Polyphaga,DToL,icNedQuad3.1 alternate haplotype,alternate_haplotype,published,GCA_977969695.1,CDWWRX01,966.97,343631,Scaffold,GCA_977969695.1,assembly,yes
Neoclytus acuminatus acuminatus,376231,Cerambycidae,Polyphaga,unknown,Nacu_1.0,Contig,published,GCA_047371185.1,JBKEIY01,508.4,52593577,Contig,GCA_047371185.1,assembly,yes
Neocrepidodera transversa,877844,Chrysomelidae,Polyphaga,DToL,icNeoTran1.1 alternate haplotype,alternate_haplotype,published,GCA_963277525.1,CAUJLU01,585.79,1360670,Scaffold,GCA_963277525.1,assembly,yes
Nicrophorus investigator,414950,Silphidae,Polyphaga,DToL,icNicInve2.1 alternate haplotype,alternate_haplotype,published,GCA_963457645.1,CAUOPX01,195.68,587776,Contig,GCA_963457645.1,assembly,yes
Nicrophorus orbicollis,64902,Silphidae,Polyphaga,unknown,ASM1884563v2,Scaffold,published,GCA_018845635.2,JAFMTC02,226.7,16089,Scaffold,GCA_018845635.2,assembly,yes
Nicrophorus vespilloides,110193,Silphidae,Polyphaga,unknown,Nves_UGA_2.0,Scaffold,published,GCA_048003765.1,JBEWBZ01,199.92,4348815,Scaffold,GCA_048003765.1,assembly,yes
Nipponaphaenops erraticus,3410394,Carabidae,Adephaga,unknown,HU_Nerr_1.0,Scaffold,published,GCA_050230155.1,JBNCAF01,463.81,21837,Scaffold,GCA_050230155.1,assembly,yes
Notiophilus biguttatus,346812,Carabidae,Adephaga,DToL,icNotBigu1.1 alternate haplotype,alternate_haplotype,published,GCA_965642425.1,CBFFMH01,506.8,677247,Scaffold,GCA_965642425.1,assembly,yes
Octodonta nipae,1432747,Chrysomelidae,Polyphaga,unknown,ASM3419094v1,Chromosome,published,GCA_034190945.1,JAVLUE01,1303.76,1021275,Chromosome,GCA_034190945.1,assembly,yes
Ocypus olens,662956,Staphylinidae,Polyphaga,DToL,icOcyOlen1.2,Chromosome,published,GCA_910593695.2,CAJVAY02,1083.85,4567902,Chromosome,GCA_910593695.2,assembly,yes
Ocypus olens,662956,Staphylinidae,Polyphaga,DToL,icOcyOlen1.1 alternate haplotype,alternate_haplotype,published,GCA_910593855.1,CAJVAZ01,1026.2,273013,Contig,GCA_910593855.1,assembly,yes
Ocys tachysoides,1940097,Carabidae,Adephaga,DToL,icOcyTach1.1 alternate haplotype,alternate_haplotype,published,GCA_965282505.1,CBDIKS01,546.13,280932,Scaffold,GCA_965282505.1,assembly,yes
Odontolabis cuvera,618294,Lucanidae,Polyphaga,unknown,ASM4946296v1,Chromosome,published,GCA_049462965.1,JBMUJD01,908.07,16385938,Chromosome,GCA_049462965.1,assembly,yes
Oedemera lurida,1553597,Oedemeridae,Polyphaga,DToL,icOedLuri2.1,Chromosome,published,GCA_979846555.1,CEHMOT01,1284.76,4848000,Chromosome,GCA_979846555.1,assembly,yes
Oedemera lurida,1553597,Oedemeridae,Polyphaga,DToL,icOedLuri2.1 alternate haplotype,alternate_haplotype,published,GCA_979843775.1,CEHMEC01,1225.28,1829806,Scaffold,GCA_979843775.1,assembly,yes
Oligota sp. GC000189,3032619,Staphylinidae,Polyphaga,unknown,Caltech_Oli_1.0,alternate_haplotype,published,GCA_030264595.1,JARJEA01,159.71,1743,Scaffold,GCA_030264595.1,assembly,yes
Ontholestes murinus,875675,Staphylinidae,Polyphaga,DToL,icOntMuri1.1 alternate haplotype,alternate_haplotype,published,GCA_963969535.1,CAXAKZ01,973.03,165988,Scaffold,GCA_963969535.1,assembly,yes
Onthophagus binodis,560254,Scarabaeidae,Polyphaga,unknown,ObinF,Chromosome,published,GCA_054643895.1,JBQQZP01,950.48,62142972,Chromosome,GCA_054643895.1,assembly,yes
Onthophagus binodis,560254,Scarabaeidae,Polyphaga,unknown,ObinM,Chromosome,published,GCA_054643955.1,JBQQZQ01,880.47,58686139,Chromosome,GCA_054643955.1,assembly,yes
Onthophagus sagittarius,476082,Scarabaeidae,Polyphaga,unknown,IU_Osag_1.0,Scaffold,published,GCA_036711965.1,JASERS01,553.2,17017457,Scaffold,GCA_036711965.1,assembly,yes
Onthophagus taurus,166361,Scarabaeidae,Polyphaga,unknown,IU_Otau_3.0,Chromosome,published,GCA_036711975.1,JASCIU01,290.86,33052070,Chromosome,GCA_036711975.1,assembly,yes
Onthophagus taurus,166361,Scarabaeidae,Polyphaga,unknown,ASM3362465v1,Contig,published,GCA_033624655.1,JAWQUF01,14.12,1024,Contig,GCA_033624655.1,assembly,yes
Ophonus ardosiacus,247415,Carabidae,Adephaga,DToL,icOphArdo1.1 alternate haplotype,alternate_haplotype,published,GCA_943138245.1,CALPBP01,884.35,650894,Contig,GCA_943138245.1,assembly,yes
Ophraella communa,38162,Chrysomelidae,Polyphaga,unknown,ASM3535741v1,Chromosome,published,GCA_035357415.1,JAYKXQ01,733.13,6792531,Chromosome,GCA_035357415.1,assembly,yes
Ophraella communa,38162,Chrysomelidae,Polyphaga,unknown,Ophraella_communa_draft_assembly,Contig,published,GCA_902651945.1,CACRSI01,774.41,195463,Contig,GCA_902651945.1,assembly,yes
Orchestes rusci,878341,Curculionidae,Polyphaga,DToL,icOrcRusc1.1 alternate haplotype,alternate_haplotype,published,GCA_958502085.1,CAUEHG01,589.28,217958,Contig,GCA_958502085.1,assembly,yes
Hycleus marcipoli,1914940,Meloidae,Polyphaga,unknown,ASM5116733v1,Chromosome,published,GCA_051167335.1,JBPIVW01,111.45,4646650,Chromosome,GCA_051167335.1,assembly,yes
Hydrochus callosus,3050894,Hydrochidae,Polyphaga,unknown,ASM3355785v1,Contig,published,GCA_033557855.1,JAUIMY01,20.91,75369,Contig,GCA_033557855.1,assembly,yes
Hypothenemus hampei,57062,Curculionidae,Polyphaga,unknown,Hham4.1,Scaffold,published,GCA_041296355.1,JBDJPC01,172.63,13972184,Scaffold,GCA_041296355.1,assembly,yes
Ichthyurus bourgeoisi,2055709,Cantharidae,Polyphaga,unknown,HBU_Ibou_V1,Chromosome,published,GCA_052863015.1,JBQPXN01,664.72,43915757,Chromosome,GCA_052863015.1,assembly,yes
Ignelater luminosus,2038154,Elateridae,Polyphaga,DToL,Ilumi1.2,Scaffold,published,GCA_011009095.1,VTPC01,842.9,31102,Scaffold,GCA_011009095.1,assembly,yes
Ips nitidus,432259,Curculionidae,Polyphaga,unknown,ASM1869124v2,Chromosome,published,GCA_018691245.2,JAGUCG02,231.41,16438241,Chromosome,GCA_018691245.2,assembly,yes
Ips typographus,55986,Curculionidae,Polyphaga,unknown,UJ_Ityp_2.0,Chromosome,published,GCA_016097725.2,JADDUH02,224.98,8272750,Chromosome,GCA_016097725.2,assembly,yes
Iselma pallidipennis,881134,Meloidae,Polyphaga,unknown,ASM3746485v1,Scaffold,published,GCA_037464855.1,JAZBHA01,107.3,21541,Scaffold,GCA_037464855.1,assembly,yes
Kibakoganea sinica,3161192,Scarabaeidae,Polyphaga,unknown,ASM4379090v1,Chromosome,published,GCA_043790905.1,JBEHHH01,601.44,24491710,Chromosome,GCA_043790905.1,assembly,yes
Kibakoganea tamdaoensis,3241133,Scarabaeidae,Polyphaga,unknown,kiba_001,Chromosome,published,GCA_046237675.1,JBJNIT01,605.33,6125000,Chromosome,GCA_046237675.1,assembly,yes
Kurasawatrechus hirakei hirakei,3410397,Carabidae,Adephaga,unknown,HU_Khir_1.0,Scaffold,published,GCA_050230135.1,JBNCAE01,647.79,4320,Scaffold,GCA_050230135.1,assembly,yes
Kuschelorhynchus macadamiae,2754503,Curculionidae,Polyphaga,unknown,CSIRO_AGI_Kmac_V1,Contig,published,GCA_030620095.1,JAUTXW01,2040.83,989531,Contig,GCA_030620095.1,assembly,yes
Labidoglobus nevermanni,1916250,Staphylinidae,Polyphaga,unknown,ASM2544783v1,Scaffold,published,GCA_025447835.1,JAOEHK01,118.83,6360,Scaffold,GCA_025447835.1,assembly,yes
Labidomera clivicollis,131652,Chrysomelidae,Polyphaga,DToL,icLabCliv1_p1.2,Scaffold,published,GCA_051313465.2,JBPGYG02,979.02,991131,Scaffold,GCA_051313465.2,assembly,yes
Labidomera clivicollis,131652,Chrysomelidae,Polyphaga,DToL,icLabCliv1_a1.2,Scaffold,published,GCA_051313455.2,JBPGYH02,599.82,856924,Scaffold,GCA_051313455.2,assembly,yes
Labidopullus appendiculatus,1916252,Staphylinidae,Polyphaga,unknown,ASM2757470v1,Scaffold,published,GCA_027574705.1,JAODAD01,160.3,1304,Scaffold,GCA_027574705.1,assembly,yes
Plagiodera versicolora,154017,Chrysomelidae,Polyphaga,unknown,ASM2540001v1,Scaffold,published,GCA_025400015.1,JAODVL01,157.91,2673,Scaffold,GCA_025400015.1,assembly,yes
Plagiodera versicolora,154017,Chrysomelidae,Polyphaga,unknown,ASM3532168v1,Chromosome,published,GCA_035321685.1,JAXMNM01,233.27,10689844,Chromosome,GCA_035321685.1,assembly,yes
Plagiodera versicolora,154017,Chrysomelidae,Polyphaga,unknown,ASM4771631v1,Chromosome,published,GCA_047716315.1,JBJPIC01,214.53,3589613,Chromosome,GCA_047716315.1,assembly,yes
Plagiodera versicolora,154017,Chrysomelidae,Polyphaga,DToL,icPlaVers1.1 alternate haplotype,alternate_haplotype,published,GCA_963585885.1,CAUZXR01,234.21,1102757,Contig,GCA_963585885.1,assembly,yes
Platerodrilus igneus,2026625,Lycidae,Polyphaga,unknown,kiz_Lpj_v1,Contig,published,GCA_036346225.1,JARFIW01,2714.43,5663757,Contig,GCA_036346225.1,assembly,yes
Plateumaris germari,462189,Chrysomelidae,Polyphaga,DToL,icPlaGerm1_p1.1,Contig,published,GCA_050242995.1,JBMEYL01,907.37,35378,Contig,GCA_050242995.1,assembly,yes
Plateumaris germari,462189,Chrysomelidae,Polyphaga,DToL,icPlaGerm1_a1.1,Contig,published,GCA_050242975.1,JBMEYM01,162.53,37986,Contig,GCA_050242975.1,assembly,yes
Platypus cylindrus,298138,Curculionidae,Polyphaga,DToL,icPlaCyli4.1 alternate haplotype,alternate_haplotype,published,GCA_949748395.1,CATIYF01,127.33,271727,Contig,GCA_949748395.1,assembly,yes
Platystomos albinus,197009,Anthribidae,Polyphaga,DToL,icPlaAlbi1.hap2.1,Scaffold,published,GCA_964106955.1,CAXKYU01,554.55,4813988,Scaffold,GCA_964106955.1,assembly,yes
Platyusa sonomae,2015917,Staphylinidae,Polyphaga,unknown,ASM2757665v1,Scaffold,published,GCA_027576655.1,JAODHY01,229.68,6614,Scaffold,GCA_027576655.1,assembly,yes
Podabrus alpinus,1553677,Cantharidae,Polyphaga,DToL,icPodAlpi1.1 alternate haplotype,alternate_haplotype,published,GCA_932273715.1,CAKNZT01,741.84,587059,Scaffold,GCA_932273715.1,assembly,yes
Podagrica fuscicornis,1425595,Chrysomelidae,Polyphaga,DToL,icPodFusc4.1,Chromosome,published,GCA_980253055.1,CEJUQO01,1948.97,2265000,Chromosome,GCA_980253055.1,assembly,yes
Podagrica fuscicornis,1425595,Chrysomelidae,Polyphaga,DToL,icPodFusc4.1 alternate haplotype,alternate_haplotype,published,GCA_980251295.1,CEJUOF01,1915.28,59598,Contig,GCA_980251295.1,assembly,yes
Poecilus cupreus,270614,Carabidae,Adephaga,DToL,icPoeCupr1.1 alternate haplotype,alternate_haplotype,published,GCA_963942615.1,CAWWDX01,624.96,1800667,Scaffold,GCA_963942615.1,assembly,yes
Pogonocherus hispidulus,1143099,Cerambycidae,Polyphaga,DToL,icPogHisp1.1 alternate haplotype,alternate_haplotype,published,GCA_963924615.1,CAWUQL01,630.82,296972,Contig,GCA_963924615.1,assembly,yes
Polydrusus cervinus,202137,Curculionidae,Polyphaga,DToL,icPolCerv1.1 alternate haplotype,alternate_haplotype,published,GCA_935413225.1,CAKXYS01,681.55,655570,Contig,GCA_935413225.1,assembly,yes
Polydrusus pterygomalis,202138,Curculionidae,Polyphaga,DToL,icPolPter2.1 alternate haplotype,alternate_haplotype,published,GCA_963969565.1,CAXAKY01,1124.77,799908,Scaffold,GCA_963969565.1,assembly,yes
Polydrusus tereticollis,1342093,Curculionidae,Polyphaga,DToL,icPolTere1.1 alternate haplotype,alternate_haplotype,published,GCA_963576715.1,CAUYWQ01,1175.32,152709,Scaffold,GCA_963576715.1,assembly,yes
Polydrusus tereticollis,1342093,Curculionidae,Polyphaga,DToL,icPolTere2.1 alternate haplotype,alternate_haplotype,published,GCA_963920815.1,CAWUDD01,1155.28,205641,Contig,GCA_963920815.1,assembly,yes
Popillia japonica,7064,Scarabaeidae,Polyphaga,DToL,icPopJapo1.0.p,Scaffold,published,GCA_042919845.1,JBFCZW01,565.09,27100407,Scaffold,GCA_042919845.1,assembly,yes
Popillia japonica,7064,Scarabaeidae,Polyphaga,unknown,ASM3121128v1,Scaffold,published,GCA_031211285.1,WEIR01,479.75,9927,Scaffold,GCA_031211285.1,assembly,yes
Popillia japonica,7064,Scarabaeidae,Polyphaga,unknown,PoJapo1.0,Scaffold,published,GCA_040143775.1,JASPKY01,578.05,195694,Scaffold,GCA_040143775.1,assembly,yes
Popillia japonica,7064,Scarabaeidae,Polyphaga,DToL,icPopJapo1.0.a,Scaffold,published,GCA_042919755.1,JBFCZX01,545.74,31226420,Scaffold,GCA_042919755.1,assembly,yes
Priacma serrata,50550,Cupedidae,Archostemata,unknown,ASM28183v1,Contig,published,GCA_000281835.1,AGRH01,12.08,4805,Contig,GCA_000281835.1,assembly,yes
Prionocyphon serricornis,1569171,Scirtidae,Polyphaga,DToL,ilEupAuri1.1 alternate haplotype,alternate_haplotype,published,GCA_964468445.1,CAYXWY01,704.23,1692592,Scaffold,GCA_964468445.1,assembly,yes
Prionocyphon serricornis,1569171,Scirtidae,Polyphaga,DToL,icPriSerr1.hap2.1,Chromosome,published,GCA_965648555.1,CBFGHK01,421.17,6066410,Chromosome,GCA_965648555.1,assembly,yes
Promethis valgipes,1304790,Tenebrionidae,Polyphaga,unknown,ASM5420589v1,Chromosome,published,GCA_054205895.1,JBQRKP01,212.13,17096667,Chromosome,GCA_054205895.1,assembly,yes
Propomacrus cypriacus,1968893,Glaphyridae,Polyphaga,DToL,icProCypr1.1,Chromosome,published,GCA_977019095.1,CDRNYK01,511.28,29712000,Chromosome,GCA_977019095.1,assembly,yes
Propylea japonica,158624,Coccinellidae,Polyphaga,unknown,SRR10076377,Contig,published,GCA_018239625.1,DWUO01,730.97,610,Contig,GCA_018239625.1,assembly,yes
Propylea quattuordecimpunctata,558720,Coccinellidae,Polyphaga,DToL,icProQuat1.1 alternate haplotype,alternate_haplotype,published,GCA_976923555.1,CDRFLK01,525.42,5346787,Contig,GCA_976923555.1,assembly,yes
Prosopocoilus inquinatus,618466,Lucanidae,Polyphaga,unknown,ASM3617266v1,Chromosome,published,GCA_036172665.1,JAYKNF01,649.73,26364114,Chromosome,GCA_036172665.1,assembly,yes
Protaetia brevitarsis,348688,Scarabaeidae,Polyphaga,unknown,ASM5190341v1,Chromosome,published,GCA_051903415.1,JBPUGI01,676.43,51133839,Chromosome,GCA_051903415.1,assembly,yes
Pseudeuparius sepicola,1586585,Anthribidae,Polyphaga,DToL,icEneSepi1.1 alternate haplotype,alternate_haplotype,published,GCA_963920675.1,CAWUDB01,327.09,69855,Contig,GCA_963920675.1,assembly,yes
Pseudomimeciton antennatum,1886653,Staphylinidae,Polyphaga,unknown,ASM2757615v1,Scaffold,published,GCA_027576155.1,JAODIA01,85.21,5376,Scaffold,GCA_027576155.1,assembly,yes
Psylliodes chrysocephalus,3402493,Chrysomelidae,Polyphaga,unknown,PGI_PSYICH_v2,Chromosome,published,GCA_927349885.1,CAKMHV01,1181.81,1287164,Chromosome,GCA_927349885.1,assembly,yes
Pterostichus madidus,767470,Carabidae,Adephaga,DToL,icPteMadi1.2,Chromosome,published,GCA_911728475.2,CAJVRY02,705.13,15821749,Chromosome,GCA_911728475.2,assembly,yes
Pterostichus madidus,767470,Carabidae,Adephaga,DToL,icPteMadi1.1 alternate haplotype,alternate_haplotype,published,GCA_911728425.1,CAJVRW01,594.61,255117,Scaffold,GCA_911728425.1,assembly,yes
Pterostichus niger,106386,Carabidae,Adephaga,DToL,icPteNige1.1 alternate haplotype,alternate_haplotype,published,GCA_947425025.1,CANDYR01,589.48,657240,Scaffold,GCA_947425025.1,assembly,yes
Pterostichus vernalis,878440,Carabidae,Adephaga,DToL,icPteVern2.1 alternate haplotype,alternate_haplotype,published,GCA_965283345.1,CBDIOL01,999.92,910782,Scaffold,GCA_965283345.1,assembly,yes
Pycnomerus fuliginosus,878397,Zopheridae,Polyphaga,DToL,icPycFuli2.1 alternate haplotype,alternate_haplotype,published,GCA_963924625.1,CAWUQE01,317.01,2891086,Contig,GCA_963924625.1,assembly,yes
Galeruca laticollis,2017130,Chrysomelidae,Polyphaga,DToL,icGalLati1.1 alternate haplotype,alternate_haplotype,published,GCA_963921905.1,CAWUHO01,808.19,42924,Scaffold,GCA_963921905.1,assembly,yes
Galerucella calmariensis,161252,Chrysomelidae,Polyphaga,unknown,Galerucella calmariensis genome assembly,Scaffold,published,GCA_910591675.1,CAJUYG01,588.27,18320,Scaffold,GCA_910591675.1,assembly,yes
Galerucella nymphaeae,131645,Chrysomelidae,Polyphaga,DToL,icGalNymp1.1 alternate haplotype,alternate_haplotype,published,GCA_963978485.1,CAXBTD01,282.45,1438123,Contig,GCA_963978485.1,assembly,yes
Galerucella pusilla,161253,Chrysomelidae,Polyphaga,unknown,Galerucella pusilla genome assembly,Scaffold,published,GCA_910591695.1,CAJUYI01,513.24,16278,Scaffold,GCA_910591695.1,assembly,yes
Galerucella sagittariae,227477,Chrysomelidae,Polyphaga,DToL,icGalSagi1.hap1.1,Chromosome,published,GCA_980434365.1,CEKVIO01,387.45,6935000,Chromosome,GCA_980434365.1,assembly,yes
Galerucella sagittariae,227477,Chrysomelidae,Polyphaga,DToL,icGalSagi1.hap2.1,Scaffold,published,GCA_980434555.1,CEKVJR01,335.28,8526124,Scaffold,GCA_980434555.1,assembly,yes
Galerucella tenella,161257,Chrysomelidae,Polyphaga,unknown,Galerucella tenella genome assembly,Scaffold,published,GCA_910591685.1,CAJUYH01,460.59,21782,Scaffold,GCA_910591685.1,assembly,yes
Gastrophysa polygoni,878018,Chrysomelidae,Polyphaga,DToL,icGasPoly1.1 alternate haplotype,alternate_haplotype,published,GCA_963576645.1,CAUYWH01,380.4,901162,Contig,GCA_963576645.1,assembly,yes
Gastrophysa viridula,154015,Chrysomelidae,Polyphaga,DToL,icGasViri2.1 alternate haplotype,alternate_haplotype,published,GCA_965641435.1,CBFFIP01,333.45,1247426,Scaffold,GCA_965641435.1,assembly,yes
Geostiba sp. GC000077,3032613,Staphylinidae,Polyphaga,unknown,Caltech_Geo_1.0,alternate_haplotype,published,GCA_030264215.1,JARJDQ01,190.69,6791,Scaffold,GCA_030264215.1,assembly,yes
Geotrupes spiniger,295525,Geotrupidae,Polyphaga,DToL,icGeoSpin1.1 alternate haplotype,alternate_haplotype,published,GCA_959613335.1,CAUIJS01,484.37,1371697,Contig,GCA_959613335.1,assembly,yes
Gnatocerus cornutus,1553328,Tenebrionidae,Polyphaga,DToL,icGnaCorn1.1,Chromosome,published,GCA_029298725.1,JARHXT01,342.67,8578702,Chromosome,GCA_029298725.1,assembly,yes
Gnatocerus cornutus,1553328,Tenebrionidae,Polyphaga,DToL,icGnaCorn1.1 alternate haplotype,alternate_haplotype,published,GCA_029298695.1,JARHXU01,148.42,67614,Contig,GCA_029298695.1,assembly,yes
Graciliella metohijensis,1849259,Leiodidae,Polyphaga,DToL,icGraMeto1.1,Chromosome,published,GCA_978019395.1,CDXDIW01,243.22,5769963,Chromosome,GCA_978019395.1,assembly,yes
Grypus equiseti,1553333,Erirhinidae,Polyphaga,DToL,icGryEqui2.1 alternate haplotype,alternate_haplotype,published,GCA_964656875.1,CAZZTJ01,746.96,129001,Scaffold,GCA_964656875.1,assembly,yes
Gymnusa sp. GC000175,3032617,Staphylinidae,Polyphaga,unknown,Caltech_Gym_1.0,alternate_haplotype,published,GCA_030264735.1,JARJDX01,405.54,4495,Scaffold,GCA_030264735.1,assembly,yes
