accession,organism,family,suborder,length_bp,submission_date,in_tob_winners
OP787486.1,Chrysomela aeneicollis,Chrysomelidae,Polyphaga,18007,2023/01/30,yes
MK049852.1,Chrysomela populi,Chrysomelidae,Polyphaga,16588,2019/11/12,yes
MT084795.1,Chrysomela vigintipunctata,Chrysomelidae,Polyphaga,17474,2020/09/28,no
NC_050933.1,Chrysomela vigintipunctata,Chrysomelidae,Polyphaga,17474,2020/10/27,no
MW354515.1,Colasposoma dauricum,Chrysomelidae,Polyphaga,15490,2021/02/02,no
MW528208.1,Colasposoma dauricum,Chrysomelidae,Polyphaga,15614,2021/03/29,no
NC_057218.1,Colasposoma dauricum,Chrysomelidae,Polyphaga,15490,2021/08/31,no
OR502857.1,Colasposoma dauricum,Chrysomelidae,Polyphaga,15584,2023/10/03,no
AF467886.1,Crioceris duodecimpunctata,Chrysomelidae,Polyphaga,15880,2002/01/24,no
NC_003372.1,Crioceris duodecimpunctata,Chrysomelidae,Polyphaga,15880,2002/01/24,no
NC_066822.1,Cryptocephalus dimidiatipennis,Chrysomelidae,Polyphaga,15746,2022/10/03,no
OK012093.1,Cryptocephalus dimidiatipennis,Chrysomelidae,Polyphaga,15746,2022/09/19,no
MK049867.1,Cryptocephalus flavolimbatus,Chrysomelidae,Polyphaga,15707,2021/04/27,no
KF669870.1,Diabrotica barberi,Chrysomelidae,Polyphaga,16366,2013/11/23,no
NC_022935.1,Diabrotica barberi,Chrysomelidae,Polyphaga,16366,2013/11/27,no
KF658070.1,Diabrotica virgifera virgifera,Chrysomelidae,Polyphaga,16650,2013/11/19,no
MK359256.1,Diorhabda carinata,Chrysomelidae,Polyphaga,16232,2019/06/04,yes
NC_042945.1,Diorhabda carinata,Chrysomelidae,Polyphaga,16232,2019/06/25,yes
MK359257.1,Diorhabda carinulata,Chrysomelidae,Polyphaga,16298,2019/06/04,yes
NC_042946.1,Diorhabda carinulata,Chrysomelidae,Polyphaga,16298,2019/06/25,yes
MK049870.1,Donacia flemola,Chrysomelidae,Polyphaga,15592,2021/04/27,no
MW176089.1,Downesia tarsata,Chrysomelidae,Polyphaga,18557,2020/12/12,no
NC_056105.1,Downesia tarsata,Chrysomelidae,Polyphaga,18557,2021/06/19,no
PQ038343.1,Euphitrea sp.,Chrysomelidae,Polyphaga,16484,2025/04/16,no
KR025478.1,Galeruca daurica,Chrysomelidae,Polyphaga,16615,2015/05/13,no
NC_027114.1,Galeruca daurica,Chrysomelidae,Polyphaga,16615,2015/05/14,no
KY039101.1,Galeruca sp. EMHAU-15083109,Chrysomelidae,Polyphaga,16960,2018/10/16,no
NC_066428.1,Galerucella birmanica,Chrysomelidae,Polyphaga,15828,2022/09/22,no
OK236519.1,Galerucella birmanica,Chrysomelidae,Polyphaga,15828,2022/09/04,no
MW305159.1,Galerucella nipponensis,Chrysomelidae,Polyphaga,15828,2022/05/16,no
NC_063863.1,Galerucella nipponensis,Chrysomelidae,Polyphaga,15828,2022/06/03,no
PV394245.1,Galerucinae sp.,Chrysomelidae,Polyphaga,15682,2026/03/17,no
PQ038344.1,Gallerucida nigropicta,Chrysomelidae,Polyphaga,15990,2025/04/16,no
NC_085605.1,Gastrolina depressa,Chrysomelidae,Polyphaga,15922,2024/02/01,no
OR947698.1,Gastrolina depressa,Chrysomelidae,Polyphaga,15922,2023/12/25,no
MF198406.1,Gastrolina thoracica,Chrysomelidae,Polyphaga,16109,2017/10/07,no
NC_036108.1,Gastrolina thoracica,Chrysomelidae,Polyphaga,16109,2017/10/18,no
PQ009943.1,Gastrophysa atrocyanea,Chrysomelidae,Polyphaga,17150,2024/07/17,no
MK049855.1,Gastrophysa polygoni,Chrysomelidae,Polyphaga,17277,2019/11/12,yes
NC_045247.1,Gastrophysa polygoni,Chrysomelidae,Polyphaga,17277,2019/12/12,yes
MK049860.1,Glyphocassis sp. N62,Chrysomelidae,Polyphaga,15594,2021/04/27,no
KX922881.1,Gonioctena intermedia,Chrysomelidae,Polyphaga,16840,2016/12/19,no
MF563962.1,Gonioctena intermedia,Chrysomelidae,Polyphaga,18293,2018/04/16,no
MF563963.1,Gonioctena intermedia,Chrysomelidae,Polyphaga,18064,2018/04/16,no
NC_042500.1,Gonioctena intermedia,Chrysomelidae,Polyphaga,18293,2019/06/07,no
MG021078.1,Hoplasoma unicolor,Chrysomelidae,Polyphaga,14568,2019/02/09,no
NC_041168.1,Hoplasoma unicolor,Chrysomelidae,Polyphaga,14568,2019/03/18,no
MK049877.1,Labidostomis urticarum,Chrysomelidae,Polyphaga,15839,2021/04/27,no
PX797439.1,Laccoptera nepalensis,Chrysomelidae,Polyphaga,16195,2026/01/10,no
NC_069044.1,Lema decempunctata,Chrysomelidae,Polyphaga,16536,2022/12/16,no
ON257014.1,Lema decempunctata,Chrysomelidae,Polyphaga,16536,2022/11/26,no
KY039141.1,Lema sp. EMHAU-15071010,Chrysomelidae,Polyphaga,14963,2018/10/16,no
MZ189364.1,Leptinotarsa decemlineata,Chrysomelidae,Polyphaga,16741,2021/07/26,yes
MK049866.1,Lilioceris yunnana,Chrysomelidae,Polyphaga,16171,2021/04/27,no
NC_077572.1,Luperomorpha xanthodera,Chrysomelidae,Polyphaga,16021,2023/06/15,no
ON631248.1,Luperomorpha xanthodera,Chrysomelidae,Polyphaga,16021,2023/04/16,no
MG021083.1,Macrohaltica subplicata,Chrysomelidae,Polyphaga,15840,2019/02/09,no
NC_041169.1,Macrohaltica subplicata,Chrysomelidae,Polyphaga,15840,2019/03/18,no
LC900331.1,Macroplea huaxiensis,Chrysomelidae,Polyphaga,15877,2025/11/21,no
LC900333.1,Macroplea japana,Chrysomelidae,Polyphaga,15840,2025/11/21,no
LC900335.1,Macroplea japana,Chrysomelidae,Polyphaga,15868,2025/11/21,no
LC900336.1,Macroplea japana,Chrysomelidae,Polyphaga,15827,2025/11/21,no
LC900332.1,Macroplea mutica,Chrysomelidae,Polyphaga,15539,2025/11/21,no
LC900334.1,Macroplea mutica,Chrysomelidae,Polyphaga,15694,2025/11/21,no
LC900337.1,Macroplea mutica,Chrysomelidae,Polyphaga,15582,2025/11/21,no
LC900330.1,Macroplea ranina,Chrysomelidae,Polyphaga,15706,2025/11/21,no
OQ984038.1,Megabruchidius dorsalis,Chrysomelidae,Polyphaga,18768,2025/12/27,no
MG021079.1,Mimastra sp. REN-2018,Chrysomelidae,Polyphaga,15247,2019/02/09,no
NC_086764.1,Monolepta cavipennis,Chrysomelidae,Polyphaga,16965,2024/03/05,no
OR582725.1,Monolepta cavipennis,Chrysomelidae,Polyphaga,16965,2024/01/31,no
MT178239.1,Monolepta hieroglyphica,Chrysomelidae,Polyphaga,16299,2021/12/05,yes
MT192098.1,Monolepta hieroglyphica,Chrysomelidae,Polyphaga,15963,2021/02/16,yes
MW419951.1,Monolepta hieroglyphica,Chrysomelidae,Polyphaga,15761,2021/04/04,yes
MW732714.1,Monolepta hieroglyphica,Chrysomelidae,Polyphaga,16213,2021/04/26,yes
NC_057489.1,Monolepta hieroglyphica,Chrysomelidae,Polyphaga,15963,2021/09/09,yes
OL504952.1,Monolepta hieroglyphica,Chrysomelidae,Polyphaga,15858,2022/10/05,yes
OR726621.1,Monolepta longitarsoides,Chrysomelidae,Polyphaga,15863,2025/01/01,no
MK409736.1,Monolepta occifluvis,Chrysomelidae,Polyphaga,15998,2020/02/01,no
NC_045838.1,Monolepta occifluvis,Chrysomelidae,Polyphaga,15998,2020/02/24,no
NC_086766.1,Monolepta pallidula,Chrysomelidae,Polyphaga,15866,2024/03/05,no
OR582727.1,Monolepta pallidula,Chrysomelidae,Polyphaga,15866,2024/01/31,no
KY039102.1,Monolepta quadriguttata,Chrysomelidae,Polyphaga,16130,2018/10/16,no
NC_039711.1,Monolepta quadriguttata,Chrysomelidae,Polyphaga,16130,2018/11/09,no
NC_063914.1,Monolepta signata,Chrysomelidae,Polyphaga,16329,2022/06/03,no
OM867791.1,Monolepta signata,Chrysomelidae,Polyphaga,16329,2022/05/18,no
KY039142.1,Monolepta sp. EMHAU-15070824,Chrysomelidae,Polyphaga,15792,2018/10/16,no
NC_086765.1,Monolepta wilcoxi,Chrysomelidae,Polyphaga,16985,2024/03/05,no
OR582726.1,Monolepta wilcoxi,Chrysomelidae,Polyphaga,16985,2024/01/31,no
LC900327.1,Neohaemonia melsheimeri,Chrysomelidae,Polyphaga,15879,2025/11/21,no
LC900328.1,Neohaemonia minnesotensis,Chrysomelidae,Polyphaga,16183,2025/11/21,no
LC900329.1,Neohaemonia nigricornis,Chrysomelidae,Polyphaga,15926,2025/11/21,no
KY039143.1,Neolema sp. EMHAU-15071012,Chrysomelidae,Polyphaga,16932,2018/10/16,no
MW802252.1,Octodonta nipae,Chrysomelidae,Polyphaga,15397,2021/05/11,yes
PQ038345.1,Oides bowringii,Chrysomelidae,Polyphaga,16107,2025/04/16,no
OQ863605.1,Oides decempunctatus,Chrysomelidae,Polyphaga,16062,2024/06/01,no
PQ100713.1,Oides decempunctatus,Chrysomelidae,Polyphaga,16062,2024/08/10,no
PQ038346.1,Oides maculatus,Chrysomelidae,Polyphaga,15737,2025/04/16,no
OP221049.1,Omophoita octoguttata,Chrysomelidae,Polyphaga,16549,2024/12/31,no
OQ029565.1,Omophoita octoguttata,Chrysomelidae,Polyphaga,16398,2024/10/23,no
MG021084.1,Omophoita sp. REN-2018,Chrysomelidae,Polyphaga,15201,2019/02/09,no
MK085754.1,Oomorphoides metallicus,Chrysomelidae,Polyphaga,16462,2019/05/12,no
NC_042828.1,Oomorphoides metallicus,Chrysomelidae,Polyphaga,16462,2019/06/25,no
KY039100.1,Ophraella communa,Chrysomelidae,Polyphaga,16553,2018/10/16,yes
NC_039710.1,Ophraella communa,Chrysomelidae,Polyphaga,16553,2018/11/09,yes
NC_068857.1,Oulema tristis,Chrysomelidae,Polyphaga,16562,2022/12/05,no
ON055371.1,Oulema tristis,Chrysomelidae,Polyphaga,16562,2022/11/20,no
NC_086763.1,Paleosepharia bicavipennis,Chrysomelidae,Polyphaga,16672,2024/03/05,no
OR582724.1,Paleosepharia bicavipennis,Chrysomelidae,Polyphaga,16672,2024/01/31,no
KY195975.1,Paleosepharia posticata,Chrysomelidae,Polyphaga,15729,2017/01/11,no
NC_033532.1,Paleosepharia posticata,Chrysomelidae,Polyphaga,15729,2017/01/26,no
OR582728.1,Paleosepharia sp.,Chrysomelidae,Polyphaga,15768,2025/01/01,no
MK049854.1,Phratora sp. N57,Chrysomelidae,Polyphaga,16776,2019/11/12,no
KX087334.1,Phyllobrotica quadrimaculata,Chrysomelidae,Polyphaga,15908,2017/10/13,no
PP598871.1,Phyllobrotica signata,Chrysomelidae,Polyphaga,16207,2024/08/21,no
MK256930.1,Phyllotreta striolata,Chrysomelidae,Polyphaga,15689,2020/02/04,yes
MN970093.1,Phyllotreta striolata,Chrysomelidae,Polyphaga,15104,2023/03/04,yes
MT934440.1,Phyllotreta striolata,Chrysomelidae,Polyphaga,14813,2022/04/25,yes
NC_045901.1,Phyllotreta striolata,Chrysomelidae,Polyphaga,15689,2020/02/24,yes
MN584924.1,Physosmaragdina nigrifrons,Chrysomelidae,Polyphaga,15903,2021/02/10,no
MT554389.1,Physosmaragdina nigrifrons,Chrysomelidae,Polyphaga,15902,2024/05/01,no
NC_057259.1,Physosmaragdina nigrifrons,Chrysomelidae,Polyphaga,15903,2021/08/31,no
MK049873.1,Physosmaragdina sp. N56,Chrysomelidae,Polyphaga,15903,2021/04/27,no
MT826862.1,Plagiodera versicolora,Chrysomelidae,Polyphaga,16857,2020/09/09,yes
NC_052916.1,Plagiodera versicolora,Chrysomelidae,Polyphaga,16857,2021/02/09,yes
OR398224.1,Plagiodera versicolora,Chrysomelidae,Polyphaga,16864,2023/09/11,yes
MK049869.1,Plateumaris sericea,Chrysomelidae,Polyphaga,15109,2021/04/27,no
MK049872.1,Platycorynus sp. N26,Chrysomelidae,Polyphaga,16130,2021/04/27,no
PX870243.1,Platypria melli,Chrysomelidae,Polyphaga,16525,2026/01/20,no
MH325078.1,Podagricomela nigricollis,Chrysomelidae,Polyphaga,16756,2019/02/26,no
NC_041423.1,Podagricomela nigricollis,Chrysomelidae,Polyphaga,16756,2019/04/10,no
MT644112.1,Psylliodes chlorophana,Chrysomelidae,Polyphaga,14561,2020/10/12,no
NC_053362.1,Psylliodes chlorophana,Chrysomelidae,Polyphaga,14561,2021/03/09,no
MF041978.1,Rhadinosa nigrocyanea,Chrysomelidae,Polyphaga,17965,2018/02/25,no
NC_037218.1,Rhadinosa nigrocyanea,Chrysomelidae,Polyphaga,17965,2018/03/23,no
MK049874.1,Sagra femorata,Chrysomelidae,Polyphaga,15905,2021/04/27,no
MT554387.1,Sagra femorata,Chrysomelidae,Polyphaga,16037,2024/05/01,no
MK049875.1,Spilopyra sumptuosa,Chrysomelidae,Polyphaga,15429,2021/04/27,no
MW489361.1,Suinzona borowieci,Chrysomelidae,Polyphaga,16272,2021/07/14,no
MW489362.1,Suinzona borowieci,Chrysomelidae,Polyphaga,16574,2021/07/14,no
MW544036.1,Suinzona borowieci,Chrysomelidae,Polyphaga,17476,2021/07/14,no
MW544035.1,Suinzona cyrtonoides,Chrysomelidae,Polyphaga,15523,2021/07/14,no
MK049876.1,Syneta adamsi,Chrysomelidae,Polyphaga,15511,2021/04/27,no
PV240303.1,Taophila bituberculata,Chrysomelidae,Polyphaga,15484,2025/09/24,no
PV240304.1,Taophila mantillerii,Chrysomelidae,Polyphaga,15597,2025/09/24,no
PV240305.1,Taophila subsericea,Chrysomelidae,Polyphaga,15498,2025/09/24,no
MK049861.1,Thlaspida biramosa,Chrysomelidae,Polyphaga,16156,2021/04/27,no
NC_082905.1,Trichochrysea japana,Chrysomelidae,Polyphaga,15681,2023/10/04,no
OR387477.1,Trichochrysea japana,Chrysomelidae,Polyphaga,15681,2023/09/06,no
OK513040.1,Wallacea dactyliferae,Chrysomelidae,Polyphaga,16243,2022/07/12,no
MZ464016.1,Callimerus chinensis,Cleridae,Polyphaga,16354,2023/02/21,no
NC_072265.1,Callimerus chinensis,Cleridae,Polyphaga,16354,2023/03/15,no
MZ488577.1,Callimerus sp.,Cleridae,Polyphaga,16920,2023/06/12,no
MZ464015.1,Cladiscus yunnanus,Cleridae,Polyphaga,16029,2023/02/21,no
NC_072264.1,Cladiscus yunnanus,Cleridae,Polyphaga,16029,2023/03/15,no
MZ490582.1,Clerus dealbatus,Cleridae,Polyphaga,16003,2023/06/12,no
KX035157.1,Hydnocerini sp. BMNH-844241,Cleridae,Polyphaga,16448,2017/10/31,no
MZ464018.1,Neohydnus jiuzhaigouensis,Cleridae,Polyphaga,16305,2023/02/21,no
NC_072266.1,Neohydnus jiuzhaigouensis,Cleridae,Polyphaga,16305,2023/03/15,no
MZ464019.1,Neohydnus sinensis,Cleridae,Polyphaga,16533,2023/06/12,no
MZ488575.1,Opilo sinensis,Cleridae,Polyphaga,16209,2023/06/12,no
MZ488576.1,Pieleus irregularis,Cleridae,Polyphaga,17127,2023/06/12,no
PV394243.1,Stigmatium sp.,Cleridae,Polyphaga,16400,2026/03/17,no
MZ488578.1,Tenerus flavicollis,Cleridae,Polyphaga,15638,2023/06/12,no
MZ488579.1,Tenerus hilleri,Cleridae,Polyphaga,15657,2023/06/12,no
MZ490583.1,Tillus discoidalis,Cleridae,Polyphaga,16153,2023/06/12,no
KT808467.1,Trichodes sinae,Cleridae,Polyphaga,16047,2016/12/27,no
NC_033340.1,Trichodes sinae,Cleridae,Polyphaga,16047,2017/01/18,no
MZ490584.1,Trichodes sp.,Cleridae,Polyphaga,16572,2023/06/12,no
MK583344.1,Aiolocaria hexaspilota,Coccinellidae,Polyphaga,17549,2019/05/15,no
NC_042417.1,Aiolocaria hexaspilota,Coccinellidae,Polyphaga,17549,2019/06/06,no
KX035143.1,Anatis ocellata,Coccinellidae,Polyphaga,17092,2017/10/31,no
NC_036272.1,Anatis ocellata,Coccinellidae,Polyphaga,17092,2017/11/16,no
MW845811.1,Cheilomenes sexmaculata,Coccinellidae,Polyphaga,17297,2021/05/09,no
MZ334467.1,Cheilomenes sexmaculata,Coccinellidae,Polyphaga,16663,2021/07/18,no
NC_082311.1,Chilocorus rubidus,Coccinellidae,Polyphaga,16801,2023/09/16,no
OQ130027.1,Chilocorus rubidus,Coccinellidae,Polyphaga,16801,2023/08/27,no
MN447521.1,Coccidophilus cariba,Coccinellidae,Polyphaga,15343,2020/06/20,no
JQ321839.1,Coccinella septempunctata,Coccinellidae,Polyphaga,18965,2012/07/02,yes
NC_067078.1,Coccinella transversoguttata,Coccinellidae,Polyphaga,17575,2022/10/09,yes
OK624419.1,Coccinella transversoguttata,Coccinellidae,Polyphaga,17575,2022/09/28,yes
KT780638.1,Coccinellidae sp. 1 EF-2015,Coccinellidae,Polyphaga,16631,2015/11/24,no
PQ668616.1,Coelophora saucia,Coccinellidae,Polyphaga,18068,2025/01/18,no
NC_064321.1,Epiverta chelonia,Coccinellidae,Polyphaga,17347,2022/06/23,no
ON209194.1,Epiverta chelonia,Coccinellidae,Polyphaga,17347,2022/06/06,no
MT548777.1,Harmonia axyridis,Coccinellidae,Polyphaga,18449,2024/05/01,yes
KJ131489.1,Henosepilachna pusillanima,Coccinellidae,Polyphaga,16216,2014/02/02,no
NC_023469.1,Henosepilachna pusillanima,Coccinellidae,Polyphaga,16216,2014/02/13,no
MT548778.1,Henosepilachna sp. 1 TT-2024a,Coccinellidae,Polyphaga,16779,2024/05/01,no
MG584727.1,Henosepilachna vigintioctopunctata,Coccinellidae,Polyphaga,17057,2019/02/09,yes
NC_041172.1,Henosepilachna vigintioctopunctata,Coccinellidae,Polyphaga,17057,2019/03/18,yes
MK334129.1,Hippodamia variegata,Coccinellidae,Polyphaga,17823,2020/02/23,yes
NC_046481.1,Hippodamia variegata,Coccinellidae,Polyphaga,17823,2020/03/26,yes
MZ325765.1,Illeis bistigmosa,Coccinellidae,Polyphaga,17840,2022/01/30,no
NC_061950.1,Illeis bistigmosa,Coccinellidae,Polyphaga,17840,2022/04/04,no
NC_066052.1,Illeis koebelei,Coccinellidae,Polyphaga,17054,2022/09/13,no
OK012004.1,Illeis koebelei,Coccinellidae,Polyphaga,17054,2022/08/27,no
OL348433.1,Illeis koebelei,Coccinellidae,Polyphaga,17055,2021/12/25,no
MZ983384.1,Megalocaria dilatata,Coccinellidae,Polyphaga,18608,2022/06/06,yes
NC_064320.1,Megalocaria dilatata,Coccinellidae,Polyphaga,18608,2022/06/23,yes
MN164642.1,Nephus includens,Coccinellidae,Polyphaga,16638,2020/05/05,no
PQ895244.1,Nephus koltzei,Coccinellidae,Polyphaga,17043,2026/02/01,no
MT445723.1,Nephus oblongosignatus,Coccinellidae,Polyphaga,16647,2020/09/21,no
NC_050855.1,Nephus oblongosignatus,Coccinellidae,Polyphaga,16647,2020/10/27,no
MN164643.1,Nephus reunioni,Coccinellidae,Polyphaga,17031,2020/05/05,no
PQ895249.1,Nephus sp.,Coccinellidae,Polyphaga,16567,2026/02/01,no
MN164644.1,Nephus sp. 1 EL-2020,Coccinellidae,Polyphaga,16430,2020/05/05,no
MN164645.1,Nephus voeltzkowi,Coccinellidae,Polyphaga,17071,2020/05/05,no
MN164646.1,Nephus voeltzkowi,Coccinellidae,Polyphaga,17060,2020/05/05,no
MN164647.1,Nephus voeltzkowi,Coccinellidae,Polyphaga,17072,2020/05/05,no
MN164648.1,Nephus voeltzkowi,Coccinellidae,Polyphaga,17060,2020/05/05,no
NC_085345.1,Oenopia formosana,Coccinellidae,Polyphaga,17885,2024/02/01,no
OR804096.1,Oenopia formosana,Coccinellidae,Polyphaga,17885,2023/12/16,no
MW530420.1,Oenopia sauzeti,Coccinellidae,Polyphaga,17630,2021/05/16,no
NC_058236.1,Oenopia sauzeti,Coccinellidae,Polyphaga,17630,2021/10/25,no
PQ873030.1,Scymnus (Pullus) sp.,Coccinellidae,Polyphaga,16528,2026/02/01,no
PQ873031.1,Scymnus (Pullus) sp.,Coccinellidae,Polyphaga,15450,2026/02/01,no
PQ873032.1,Scymnus (Pullus) sp.,Coccinellidae,Polyphaga,15306,2026/02/01,no
PQ895242.1,Scymnus (Pullus) sp.,Coccinellidae,Polyphaga,16875,2026/02/01,no
PQ895248.1,Scymnus (Pullus) sp.,Coccinellidae,Polyphaga,16428,2026/02/01,no
PQ895241.1,Scymnus (Scymnus) sp.,Coccinellidae,Polyphaga,16897,2026/02/01,no
PQ872950.1,Scymnus accamptus,Coccinellidae,Polyphaga,16471,2026/02/01,no
PQ872953.1,Scymnus bistortus,Coccinellidae,Polyphaga,16783,2026/02/01,no
PQ872938.1,Scymnus bourdilloni,Coccinellidae,Polyphaga,17073,2026/02/01,no
PQ872952.1,Scymnus bourdilloni,Coccinellidae,Polyphaga,17070,2026/02/01,no
PQ873038.1,Scymnus byssinus,Coccinellidae,Polyphaga,15059,2026/02/01,no
PQ872943.1,Scymnus centralis,Coccinellidae,Polyphaga,17646,2026/02/01,no
PQ872958.1,Scymnus chayuensis,Coccinellidae,Polyphaga,16813,2026/02/01,no
PQ873037.1,Scymnus choui,Coccinellidae,Polyphaga,16766,2026/02/01,no
PQ872954.1,Scymnus conoidalis,Coccinellidae,Polyphaga,17865,2026/02/01,no
PQ873036.1,Scymnus crispatus,Coccinellidae,Polyphaga,15582,2026/02/01,no
PQ873042.1,Scymnus dongjiuensis,Coccinellidae,Polyphaga,16497,2026/02/01,no
PQ872947.1,Scymnus dorcatomoides,Coccinellidae,Polyphaga,18763,2026/02/01,no
PQ872956.1,Scymnus duomaculatus,Coccinellidae,Polyphaga,16706,2026/02/01,no
PQ873026.1,Scymnus facetus,Coccinellidae,Polyphaga,16815,2026/02/01,no
PQ872949.1,Scymnus fruticis,Coccinellidae,Polyphaga,17404,2026/02/01,no
PQ872944.1,Scymnus geminus,Coccinellidae,Polyphaga,16420,2026/02/01,no
PQ873029.1,Scymnus godavariensis,Coccinellidae,Polyphaga,16306,2026/02/01,no
PQ872945.1,Scymnus hingstoni,Coccinellidae,Polyphaga,16343,2026/02/01,no
PQ872941.1,Scymnus huashansong,Coccinellidae,Polyphaga,16353,2026/02/01,no
PQ872959.1,Scymnus igneus,Coccinellidae,Polyphaga,17014,2026/02/01,no
PQ895240.1,Scymnus inderihensis,Coccinellidae,Polyphaga,16453,2026/02/01,no
PQ872955.1,Scymnus janetscheki,Coccinellidae,Polyphaga,16385,2026/02/01,no
PQ873035.1,Scymnus jilongicus,Coccinellidae,Polyphaga,15438,2026/02/01,no
PQ873033.1,Scymnus kopetzi,Coccinellidae,Polyphaga,15644,2026/02/01,no
PQ873041.1,Scymnus lebuensis,Coccinellidae,Polyphaga,15460,2026/02/01,no
PQ873039.1,Scymnus linzhianus,Coccinellidae,Polyphaga,16225,2026/02/01,no
PQ873034.1,Scymnus martensi,Coccinellidae,Polyphaga,16261,2026/02/01,no
PQ895243.1,Scymnus nephrospilus,Coccinellidae,Polyphaga,17000,2026/02/01,no
PQ872946.1,Scymnus nubilus,Coccinellidae,Polyphaga,16323,2026/02/01,no
PQ873040.1,Scymnus obliquophyllus,Coccinellidae,Polyphaga,16844,2026/02/01,no
PQ873027.1,Scymnus oestocraerus,Coccinellidae,Polyphaga,16486,2026/02/01,no
PQ895246.1,Scymnus perdere,Coccinellidae,Polyphaga,16465,2026/02/01,no
PQ895239.1,Scymnus podoides,Coccinellidae,Polyphaga,17001,2026/02/01,no
PQ872939.1,Scymnus posticalis,Coccinellidae,Polyphaga,16647,2026/02/01,no
PQ873043.1,Scymnus rectiusculus,Coccinellidae,Polyphaga,16731,2026/02/01,no
PQ873045.1,Scymnus rufostriatus,Coccinellidae,Polyphaga,16626,2026/02/01,no
PQ872957.1,Scymnus selliformis,Coccinellidae,Polyphaga,17474,2026/02/01,no
PQ872942.1,Scymnus sodalis,Coccinellidae,Polyphaga,16570,2026/02/01,no
PQ895245.1,Scymnus sp.,Coccinellidae,Polyphaga,16584,2026/02/01,no
PP639204.1,Scymnus sp. 1 ZI-2024a,Coccinellidae,Polyphaga,15416,2024/04/16,no
PQ872940.1,Scymnus sufflavus,Coccinellidae,Polyphaga,16354,2026/02/01,no
PQ895247.1,Scymnus takabayashii,Coccinellidae,Polyphaga,17091,2026/02/01,no
PQ895250.1,Scymnus tenuis,Coccinellidae,Polyphaga,17492,2026/02/01,no
PQ872951.1,Scymnus trimaculatus,Coccinellidae,Polyphaga,16640,2026/02/01,no
PQ872937.1,Scymnus yamato,Coccinellidae,Polyphaga,16690,2026/02/01,no
PQ872948.1,Scymnus yangi,Coccinellidae,Polyphaga,16510,2026/02/01,no
PP865227.1,Thalassa montezumae,Coccinellidae,Polyphaga,16976,2024/06/11,no
MT114193.1,Vibidia duodecimguttata,Coccinellidae,Polyphaga,19627,2021/08/03,no
MZ713638.1,Vibidia duodecimguttata,Coccinellidae,Polyphaga,17354,2022/09/04,no
NC_066406.1,Vibidia duodecimguttata,Coccinellidae,Polyphaga,17354,2022/09/22,no
GU176341.1,Cucujus clavipes,Cucujidae,Polyphaga,15642,2010/07/12,no
NC_018350.1,Cucujus clavipes,Cucujidae,Polyphaga,15642,2012/08/10,no
MZ440340.1,Cucujus costatus,Cucujidae,Polyphaga,16033,2021/11/10,no
MK614509.1,Cucujus kempi,Cucujidae,Polyphaga,15492,2020/08/23,no
NC_051939.1,Cucujus kempi,Cucujidae,Polyphaga,15492,2020/12/10,no
MK614508.1,Cucujus mniszechi,Cucujidae,Polyphaga,15488,2020/08/23,no
NC_051938.1,Cucujus mniszechi,Cucujidae,Polyphaga,15488,2020/12/10,no
MK614524.1,Palaestes abruptus,Cucujidae,Polyphaga,15534,2020/08/23,no
NC_051934.1,Palaestes abruptus,Cucujidae,Polyphaga,15534,2020/12/10,no
MK614518.1,Platisus angusticollis,Cucujidae,Polyphaga,15921,2020/08/23,no
NC_051936.1,Platisus angusticollis,Cucujidae,Polyphaga,15921,2020/12/10,no
MK614515.1,Platisus moerosus,Cucujidae,Polyphaga,15673,2020/08/23,no
NC_051937.1,Platisus moerosus,Cucujidae,Polyphaga,15673,2020/12/10,no
MK614525.1,Thesaurus albertalleni,Cucujidae,Polyphaga,15510,2020/08/23,no
NC_051935.1,Thesaurus albertalleni,Cucujidae,Polyphaga,15510,2020/12/10,no
MW820160.1,Tenomerga trabecula,Cupedidae,Archostemata,16741,2021/06/13,no
MT501538.1,Aclees cribratus,Curculionidae,Polyphaga,17329,2020/10/12,no
NC_051548.1,Aclees cribratus,Curculionidae,Polyphaga,17329,2020/11/22,no
MZ305480.1,Aclees taiwanensis,Curculionidae,Polyphaga,17435,2021/08/30,no
KF785807.1,Aegorhinus superciliosus,Curculionidae,Polyphaga,15121,2015/07/20,no
NC_027577.1,Aegorhinus superciliosus,Curculionidae,Polyphaga,15121,2015/07/23,no
MH819192.1,Alcidodes juglans,Curculionidae,Polyphaga,15638,2019/03/19,no
NC_041669.1,Alcidodes juglans,Curculionidae,Polyphaga,15638,2019/04/10,no
OR699285.1,Amalus scortillum,Curculionidae,Polyphaga,16829,2024/06/09,no
KX035217.1,Anisandrus dispar,Curculionidae,Polyphaga,16665,2017/10/31,no
NC_036293.1,Anisandrus dispar,Curculionidae,Polyphaga,16665,2017/11/16,no
MK654676.1,Anthonomus eugenii,Curculionidae,Polyphaga,17257,2019/08/31,no
NC_044711.1,Anthonomus eugenii,Curculionidae,Polyphaga,17257,2019/09/21,no
MK654677.1,Anthonomus pomorum,Curculionidae,Polyphaga,17093,2019/08/31,no
NC_044712.1,Anthonomus pomorum,Curculionidae,Polyphaga,17093,2019/09/21,no
MK654678.1,Anthonomus rectirostris,Curculionidae,Polyphaga,17676,2019/08/31,no
NC_044713.1,Anthonomus rectirostris,Curculionidae,Polyphaga,17676,2019/09/21,no
