accession,organism,taxid,family,suborder,assembly_level,contig_N50,scaffold_N50,total_length_mb,submission_date,submitter,in_scarab_catalog,tob_score,tob_recommendation
GCA_965642215.1,Orchesia undulata,351518,Melandryidae,Polyphaga,Scaffold,4401460,24117115,227.58,2025-07-17,WELLCOME SANGER INSTITUTE,no,C,include
GCA_042767095.1,Zophobas morio,2755281,Tenebrionidae,Polyphaga,Scaffold,4352000,24972000,619.41,2024-10-08,Quanzhou Normal University,no,C,include
GCA_048003765.1,Nicrophorus vespilloides,110193,Silphidae,Polyphaga,Scaffold,4348815,9068783,199.92,2025-02-25,University of Georgia,no,C,include
GCA_965601815.1,Harpalus anxius,247284,Carabidae,Adephaga,Scaffold,4337460,59266683,1031.14,2025-07-07,WELLCOME SANGER INSTITUTE,no,C,include
GCA_042767475.1,Euwallacea fornicatus,995702,Curculionidae,Polyphaga,Scaffold,4315094,4506111,253.42,2024-10-08,UCLA,no,C,include
GCA_966112655.1,Leistus rufomarginatus,346790,Carabidae,Adephaga,Scaffold,4304529,14747797,257.83,2025-08-14,WELLCOME SANGER INSTITUTE,no,C,include
GCA_964188085.1,Anisosticta novemdecimpunctata,185876,Coccinellidae,Polyphaga,Scaffold,4253225,4253225,425.45,2024-06-20,WELLCOME SANGER INSTITUTE,no,C,include
GCA_964211975.1,Kyklioacalles roboris,501664,Curculionidae,Polyphaga,Scaffold,4107426,30513364,609.02,2024-08-03,WELLCOME SANGER INSTITUTE,no,C,include
GCA_965788365.1,Agriotes lineatus,292458,Elateridae,Polyphaga,Scaffold,4104806,214170943,2557.49,2025-08-10,WELLCOME SANGER INSTITUTE,no,C,include
GCA_975143845.1,Diplocoelus fagi,433040,Biphyllidae,Polyphaga,Scaffold,3789930,63999119,1451.45,2025-11-22,WELLCOME SANGER INSTITUTE,no,C,include
GCA_964277185.1,Tarphius canariensis,124803,Zopheridae,Polyphaga,Scaffold,3748692,30641328,318.28,2024-10-29,WELLCOME SANGER INSTITUTE,no,C,include
GCA_964339035.1,Quedius lateralis,878401,Staphylinidae,Polyphaga,Scaffold,3644730,39431557,835.79,2024-11-11,WELLCOME SANGER INSTITUTE,no,C,include
GCA_964059575.1,Calvia quattuordecimguttata,419956,Coccinellidae,Polyphaga,Scaffold,3599899,40346767,1731.69,2024-05-29,WELLCOME SANGER INSTITUTE,no,C,include
GCA_965643725.1,Anobium punctatum,877859,Ptinidae,Polyphaga,Scaffold,3523807,35406603,284.04,2025-07-19,WELLCOME SANGER INSTITUTE,no,C,include
GCA_964204965.1,Bruchidius varius,256828,Chrysomelidae,Polyphaga,Scaffold,3251757,128828166,1143.24,2024-07-28,WELLCOME SANGER INSTITUTE,no,C,include
GCA_981558475.1,Amara convexiuscula,1553052,Carabidae,Adephaga,Scaffold,3156096,37835971,714.13,2026-03-01,WELLCOME SANGER INSTITUTE,no,C,include
GCA_978021455.1,Platydracus latebricola,1553674,Staphylinidae,Polyphaga,Scaffold,3117354,96181028,1253.22,2026-02-25,WELLCOME SANGER INSTITUTE,no,C,include
GCA_982319525.1,Phaedon tumidulus,346819,Chrysomelidae,Polyphaga,Scaffold,3069027,111397588,1458.46,2026-03-22,WELLCOME SANGER INSTITUTE,no,C,include
GCA_964197765.1,Chrysolina graminis,111401,Chrysomelidae,Polyphaga,Scaffold,3004824,129356550,1455.42,2024-07-06,WELLCOME SANGER INSTITUTE,no,C,include
GCA_029955315.1,Cylas formicarius,197179,Brentidae,Polyphaga,Scaffold,2934011,36172098,391.12,2023-05-08,United States Department of Agriculture,no,C,include
GCA_977063465.1,Calodromius spilotus,1553381,Carabidae,Adephaga,Scaffold,2820911,70831827,1070.59,2025-11-25,WELLCOME SANGER INSTITUTE,no,C,include
GCA_971785815.1,Sphaeroderma testaceum,428710,Chrysomelidae,Polyphaga,Scaffold,2678904,58753766,1522.33,2025-11-22,WELLCOME SANGER INSTITUTE,no,C,include
GCA_949126855.1,Lochmaea capreae,227480,Chrysomelidae,Polyphaga,Scaffold,2598267,2598267,527.33,2023-04-18,WELLCOME SANGER INSTITUTE,no,C,include
GCA_043773845.1,Dicheirus dilatatus,2890184,Carabidae,Adephaga,Scaffold,2484792,14596153,518.93,2024-10-24,UCLA,no,C,include
GCA_980747085.1,Phyllobius pyri,202125,Curculionidae,Polyphaga,Scaffold,2474889,68672705,760.76,2026-02-28,WELLCOME SANGER INSTITUTE,no,C,include
GCA_965112435.1,Uleiota planata,346868,Silvanidae,Polyphaga,Scaffold,2218670,2218670,727.35,2025-01-23,WELLCOME SANGER INSTITUTE,no,C,include
GCA_041228435.2,Larinus minutus,1342029,Curculionidae,Polyphaga,Scaffold,2177891,44684014,1320.16,2025-02-11,Canada's national platform for genome sequencing and analysis,no,C,include
GCA_965643615.1,Rhizotrogus aestivus,1971888,Scarabaeidae,Polyphaga,Scaffold,2066696,177127195,1871.47,2025-07-19,WELLCOME SANGER INSTITUTE,no,C,include
GCA_965122525.1,Chrysomela saliceti,1587176,Chrysomelidae,Polyphaga,Scaffold,2044294,43772658,703.32,2025-02-10,WELLCOME SANGER INSTITUTE,no,C,include
GCA_963989235.1,Dromius quadrimaculatus,346772,Carabidae,Adephaga,Scaffold,2040953,2040953,876.92,2024-03-30,WELLCOME SANGER INSTITUTE,no,C,include
GCA_932526485.1,Philonthus cognatus,346820,Staphylinidae,Polyphaga,Scaffold,2006501,2006537,909.49,2022-03-23,WELLCOME SANGER INSTITUTE,no,C,include
GCA_979300185.1,Phaedon cochleariae,80249,Chrysomelidae,Polyphaga,Scaffold,1983865,53376849,907.61,2026-02-27,WELLCOME SANGER INSTITUTE,no,C,include
GCA_918026855.1,Phaedon cochleariae,80249,Chrysomelidae,Polyphaga,Scaffold,1950330,57205461,869.73,2022-09-04,ROTHAMSTED RESEARCH,no,C,include
GCA_964028145.1,Altica lythri,346691,Chrysomelidae,Polyphaga,Scaffold,1915886,18345038,1786.86,2024-04-20,WELLCOME SANGER INSTITUTE,no,C,include
GCA_910591895.1,Adalia bipunctata,7084,Coccinellidae,Polyphaga,Scaffold,1842588,1842588,357.82,2021-07-08,WELLCOME SANGER INSTITUTE,no,C,include
GCA_979843775.1,Oedemera lurida,1553597,Oedemeridae,Polyphaga,Scaffold,1829806,1829806,1225.28,2026-02-28,WELLCOME SANGER INSTITUTE,no,C,include
GCA_965642245.1,Mycetophagus piceus,1501876,Mycetophagidae,Polyphaga,Scaffold,1811000,17944367,141.81,2025-07-17,WELLCOME SANGER INSTITUTE,no,C,include
GCA_963942615.1,Poecilus cupreus,270614,Carabidae,Adephaga,Scaffold,1800667,1819077,624.96,2024-02-10,WELLCOME SANGER INSTITUTE,no,C,include
GCA_964468445.1,Prionocyphon serricornis,1569171,Scirtidae,Polyphaga,Scaffold,1692592,22988916,704.23,2024-12-07,WELLCOME SANGER INSTITUTE,no,C,include
GCA_042257075.1,Tetraopes tetrophthalmus,1206596,Cerambycidae,Polyphaga,Scaffold,1658148,2221309,779.32,2024-09-25,University of Memphis,no,C,include
GCA_965112465.1,Prionychus ater,347445,Tenebrionidae,Polyphaga,Scaffold,1640624,31699122,347.54,2025-01-23,WELLCOME SANGER INSTITUTE,no,C,include
GCA_965644435.1,Lesteva pubescens,346794,Staphylinidae,Polyphaga,Scaffold,1615374,102305544,983.04,2025-07-28,WELLCOME SANGER INSTITUTE,no,C,include
GCA_951394325.1,Harpalus rufipes,247442,Carabidae,Adephaga,Scaffold,1600630,1600630,847.23,2023-05-17,WELLCOME SANGER INSTITUTE,no,C,include
GCA_982446895.1,Luperus flavipes,1553543,Chrysomelidae,Polyphaga,Scaffold,1565463,48206148,1195.54,2026-04-19,WELLCOME SANGER INSTITUTE,no,C,include
GCA_040955265.2,Agriotes obscurus,350085,Elateridae,Polyphaga,Scaffold,1554508,29246681,2087.5,2025-02-27,Canada's national platform for genome sequencing and analysis,no,C,include
GCA_964258775.1,Longitarsus flavicornis,878065,Chrysomelidae,Polyphaga,Scaffold,1524663,69508136,1045.44,2024-08-30,WELLCOME SANGER INSTITUTE,no,C,include
GCA_025399875.2,Dalotia coriaria,877792,Staphylinidae,Polyphaga,Scaffold,1365799,8658950,193.92,2023-06-22,IRIDIAN GENOMES,no,C,include
GCA_963277525.1,Neocrepidodera transversa,877844,Chrysomelidae,Polyphaga,Scaffold,1360670,1360670,585.79,2023-08-23,WELLCOME SANGER INSTITUTE,no,C,include
GCA_982345255.1,Oxypselaphus obscurus,877726,Carabidae,Adephaga,Scaffold,1333625,28665723,614.65,2026-03-27,WELLCOME SANGER INSTITUTE,no,C,include
GCA_042767365.1,Euwallacea fornicatus,995702,Curculionidae,Polyphaga,Scaffold,1325806,3799349,198.52,2024-10-08,UCLA,no,C,include
GCA_011033045.1,Harmonia axyridis,115357,Coccinellidae,Polyphaga,Scaffold,1254346,2054022,417.14,2020-02-27,Zhejiang University,no,C,include
GCA_963082845.1,Melanotus villosus,346801,Elateridae,Polyphaga,Scaffold,1247578,1268950,749.99,2023-08-08,WELLCOME SANGER INSTITUTE,no,C,include
GCA_965641435.1,Gastrophysa viridula,154015,Chrysomelidae,Polyphaga,Scaffold,1247426,23922723,333.45,2025-07-09,WELLCOME SANGER INSTITUTE,no,C,include
GCA_979299855.1,Chrysolina herbacea,75521,Chrysomelidae,Polyphaga,Scaffold,1242014,113487441,1204.85,2026-02-27,WELLCOME SANGER INSTITUTE,no,C,include
GCA_911387815.1,Cantharis rustica,195172,Cantharidae,Polyphaga,Scaffold,1241017,1241017,417.66,2021-07-25,WELLCOME SANGER INSTITUTE,no,C,include
GCA_977066045.1,Monotoma picipes,878149,Monotomidae,Polyphaga,Scaffold,1227421,10683293,164.77,2025-11-28,WELLCOME SANGER INSTITUTE,no,C,include
GCA_965642275.1,Chrysomela populi,154003,Chrysomelidae,Polyphaga,Scaffold,1152832,34754923,544.77,2025-07-17,WELLCOME SANGER INSTITUTE,no,C,include
GCA_978018185.1,Crudosilis ruficollis,879036,Cantharidae,Polyphaga,Scaffold,1118927,1123046,1358.39,2026-02-05,WELLCOME SANGER INSTITUTE,no,C,include
GCA_982375225.1,Lathrobium fulvipenne,878051,Staphylinidae,Polyphaga,Scaffold,1117673,36457616,422.79,2026-04-05,WELLCOME SANGER INSTITUTE,no,C,include
GCA_963971265.1,Aphodius granarius,207157,Scarabaeidae,Polyphaga,Scaffold,1086545,1086545,291.66,2024-03-06,WELLCOME SANGER INSTITUTE,no,C,include
GCA_965240505.1,Lathrobium brunnipes,346787,Staphylinidae,Polyphaga,Scaffold,1049616,45434400,422.78,2025-04-14,WELLCOME SANGER INSTITUTE,no,C,include
GCA_029618875.1,Dynastes tityus,1248199,Scarabaeidae,Polyphaga,Scaffold,1020787,59088467,697.77,2023-04-07,Academia Sinica,no,C,include
GCA_963932205.1,Tachinus rufipes,1588496,Staphylinidae,Polyphaga,Scaffold,1007446,1007446,1030.06,2024-02-07,WELLCOME SANGER INSTITUTE,no,C,include
GCA_030068065.1,Anthonomus grandis,2921224,Curculionidae,Polyphaga,Scaffold,970205,972562,619.64,2023-05-24,United States Department of Agriculture,no,C,include
GCA_947369215.1,Cantharis rufa,350087,Cantharidae,Polyphaga,Scaffold,968230,968230,339.66,2022-12-05,WELLCOME SANGER INSTITUTE,no,C,include
GCA_910589365.1,Malachius bipustulatus,295700,Melyridae,Polyphaga,Scaffold,945557,945557,542.32,2021-07-08,WELLCOME SANGER INSTITUTE,no,C,include
GCA_963966135.1,Clivina fossor,795047,Carabidae,Adephaga,Scaffold,914385,914385,576.52,2024-02-13,WELLCOME SANGER INSTITUTE,no,C,include
GCA_965283345.1,Pterostichus vernalis,878440,Carabidae,Adephaga,Scaffold,910782,917699,999.92,2025-05-18,WELLCOME SANGER INSTITUTE,no,C,include
GCA_977071055.1,Phratora vitellinae,153785,Chrysomelidae,Polyphaga,Scaffold,903000,32028419,593.36,2025-12-01,WELLCOME SANGER INSTITUTE,no,C,include
GCA_025024175.1,Rhyzopertha dominica,92692,Bostrichidae,Polyphaga,Scaffold,878850,53594014,479.17,2022-09-07,USDA ARS Center for Grain and Animal Health Research,no,C,include
GCA_051313455.2,Labidomera clivicollis,131652,Chrysomelidae,Polyphaga,Scaffold,856924,36966823,599.82,2026-01-27,Canada's national platform for genome sequencing and analysis,no,C,include
GCA_937616445.2,Halyzia sedecimguttata,347359,Coccinellidae,Polyphaga,Scaffold,843446,847274,902.25,2022-10-10,WELLCOME SANGER INSTITUTE,no,C,include
GCA_051048005.1,Curculio caryae,13025,Curculionidae,Polyphaga,Scaffold,821239,821239,2053.91,2025-06-25,USDA Ag100Pest,no,C,include
GCA_963969565.1,Polydrusus pterygomalis,202138,Curculionidae,Polyphaga,Scaffold,799908,799908,1124.77,2024-03-06,WELLCOME SANGER INSTITUTE,no,C,include
GCA_964204705.1,Anaspis regimbarti,346699,Scraptiidae,Polyphaga,Scaffold,765541,56224633,467.93,2024-07-28,WELLCOME SANGER INSTITUTE,no,C,include
GCA_937616445.1,Halyzia sedecimguttata,347359,Coccinellidae,Polyphaga,Scaffold,734643,737873,909.38,2022-05-30,WELLCOME SANGER INSTITUTE,no,C,include
GCA_963930795.1,Silvanus unidentatus,295940,Silvanidae,Polyphaga,Scaffold,729864,738100,192.61,2024-01-31,WELLCOME SANGER INSTITUTE,no,C,include
GCA_964205195.1,Denticollis linearis,333879,Elateridae,Polyphaga,Scaffold,699147,709200,1392.35,2024-07-29,WELLCOME SANGER INSTITUTE,no,C,include
GCA_951805015.1,Othius punctulatus,347424,Staphylinidae,Polyphaga,Scaffold,697565,700448,867.54,2023-06-04,WELLCOME SANGER INSTITUTE,no,C,include
GCA_963584005.1,Stenurella melanura,877990,Cerambycidae,Polyphaga,Scaffold,686301,703321,1531.13,2023-11-06,WELLCOME SANGER INSTITUTE,no,C,include
GCA_965642425.1,Notiophilus biguttatus,346812,Carabidae,Adephaga,Scaffold,677247,680901,506.8,2025-07-19,WELLCOME SANGER INSTITUTE,no,C,include
GCA_964243875.1,Anaspis frontalis,433021,Scraptiidae,Polyphaga,Scaffold,671465,100455230,802.05,2024-08-30,WELLCOME SANGER INSTITUTE,no,C,include
GCA_982374675.1,Phytoecia cylindrica,1588379,Cerambycidae,Polyphaga,Scaffold,658190,61737797,703.74,2026-04-05,WELLCOME SANGER INSTITUTE,no,C,include
GCA_947425025.1,Pterostichus niger,106386,Carabidae,Adephaga,Scaffold,657240,664026,589.48,2022-12-11,WELLCOME SANGER INSTITUTE,no,C,include
GCA_965118225.1,Pachyrhinus lethierryi,857166,Curculionidae,Polyphaga,Scaffold,649918,43772980,512.45,2025-01-29,WELLCOME SANGER INSTITUTE,no,C,include
GCA_976576855.1,Pterostichus diligens,360359,Carabidae,Adephaga,Scaffold,645914,36743570,528.81,2025-11-22,WELLCOME SANGER INSTITUTE,no,C,include
GCA_964656835.2,Bitoma crenata,346746,Zopheridae,Polyphaga,Scaffold,622504,16633718,145.78,2025-11-24,WELLCOME SANGER INSTITUTE,no,C,include
GCA_963083015.1,Harpalus rubripes,247297,Carabidae,Adephaga,Scaffold,592307,603827,1154.55,2023-08-08,WELLCOME SANGER INSTITUTE,no,C,include
GCA_964656835.1,Bitoma crenata,346746,Zopheridae,Polyphaga,Scaffold,591749,13503920,147.04,2025-01-06,WELLCOME SANGER INSTITUTE,no,C,include
GCA_932273715.1,Podabrus alpinus,1553677,Cantharidae,Polyphaga,Scaffold,587059,587059,741.84,2022-03-30,WELLCOME SANGER INSTITUTE,no,C,include
GCA_977014665.1,Gonodera luperus,700380,Tenebrionidae,Polyphaga,Scaffold,574649,42182711,344.83,2025-11-23,WELLCOME SANGER INSTITUTE,no,C,include
GCA_982446815.1,Amara aulica,536885,Carabidae,Adephaga,Scaffold,539291,31921375,544.1,2026-04-19,WELLCOME SANGER INSTITUTE,no,C,include
GCA_963966065.1,Xestobium rufovillosum,879067,Ptinidae,Polyphaga,Scaffold,539148,539148,445.16,2024-02-13,WELLCOME SANGER INSTITUTE,no,C,include
GCA_019250055.1,Apis cerana,7461,Apidae,Apocrita,Scaffold,523645,2852611,214.43,2021-07-15,Chinese Academy of Agricultural Sciences,no,C,include
GCA_965283225.1,Scaphidium quadrimaculatum,295644,Staphylinidae,Polyphaga,Scaffold,519534,102474065,1254.35,2025-05-18,WELLCOME SANGER INSTITUTE,no,C,include
GCA_965178215.1,Longitarsus dorsalis,346795,Chrysomelidae,Polyphaga,Scaffold,496309,51108305,990.33,2025-03-19,WELLCOME SANGER INSTITUTE,no,C,include
GCA_963576425.1,Aspidapion aeneum,877730,Apionidae,Polyphaga,Scaffold,492646,494872,1267.91,2023-11-04,WELLCOME SANGER INSTITUTE,no,C,include
GCA_975740015.1,Lesteva punctata,290674,Staphylinidae,Polyphaga,Scaffold,459486,131383721,1226.4,2025-11-25,WELLCOME SANGER INSTITUTE,no,C,include
GCA_929114945.1,Agrypnus murinus,195168,Elateridae,Polyphaga,Scaffold,448824,448824,1216.22,2022-02-13,WELLCOME SANGER INSTITUTE,no,C,include
GCA_965789425.1,Subcoccinella vigintiquattuorpunctata,295815,Coccinellidae,Polyphaga,Scaffold,433538,32368212,589.79,2025-08-10,WELLCOME SANGER INSTITUTE,no,C,include
GCA_963920745.1,Cartodere bifasciata,1587142,Latridiidae,Polyphaga,Scaffold,417192,417475,178.61,2023-12-26,WELLCOME SANGER INSTITUTE,no,C,include
GCA_963422185.1,Carabus problematicus,49291,Carabidae,Adephaga,Scaffold,403213,406438,241.25,2023-09-04,WELLCOME SANGER INSTITUTE,no,C,include
GCA_944567605.1,Phosphuga atrata,414934,Silphidae,Polyphaga,Scaffold,402671,404699,1139.23,2022-07-17,WELLCOME SANGER INSTITUTE,no,C,include
GCA_963971565.1,Liopterus haemorrhoidalis,107794,Dytiscidae,Adephaga,Scaffold,400796,401026,920.55,2024-03-06,WELLCOME SANGER INSTITUTE,no,C,include
GCA_964263185.1,Sitona lineatus,202195,Curculionidae,Polyphaga,Scaffold,400587,17325095,1207.71,2024-09-15,WELLCOME SANGER INSTITUTE,no,C,include
GCA_963966085.1,Aphodius sticticus,207213,Scarabaeidae,Polyphaga,Scaffold,387746,388456,646.34,2024-02-13,WELLCOME SANGER INSTITUTE,no,C,include
GCA_964211875.1,Aphodius fimetarius,207148,Scarabaeidae,Polyphaga,Scaffold,387017,387216,1158.84,2024-08-01,WELLCOME SANGER INSTITUTE,no,C,include
GCA_965644185.1,Drusilla canaliculata,135868,Staphylinidae,Polyphaga,Scaffold,385837,32588319,342.98,2025-07-24,WELLCOME SANGER INSTITUTE,no,C,include
GCA_978046075.1,Paederus riparius,878345,Staphylinidae,Polyphaga,Scaffold,383133,69381169,1227.89,2026-03-03,WELLCOME SANGER INSTITUTE,no,C,include
GCA_944739395.1,Nebria brevicollis,110024,Carabidae,Adephaga,Scaffold,381756,381756,223.35,2022-07-17,WELLCOME SANGER INSTITUTE,no,C,include
GCA_977013325.1,Phaleria cadaverina,1470699,Tenebrionidae,Polyphaga,Scaffold,375384,13117526,392.5,2025-11-23,WELLCOME SANGER INSTITUTE,no,C,include
GCA_964023935.1,Melinopterus prodromus,1971315,Scarabaeidae,Polyphaga,Scaffold,368429,370065,652.43,2024-04-12,WELLCOME SANGER INSTITUTE,no,C,include
GCA_040955365.2,Agriotes lineatus,292458,Elateridae,Polyphaga,Scaffold,362001,915219,2257.81,2025-02-12,Canada's national platform for genome sequencing and analysis,no,C,include
GCA_965601655.1,Pseudocistela ceramboides,295998,Tenebrionidae,Polyphaga,Scaffold,350824,25097327,357.26,2025-07-07,WELLCOME SANGER INSTITUTE,no,C,include
GCA_977969695.1,Nedyus quadrimaculatus,202049,Curculionidae,Polyphaga,Scaffold,343631,355897,966.97,2026-02-05,WELLCOME SANGER INSTITUTE,no,C,include
GCA_050242875.2,Anthonomus rubi,201759,Curculionidae,Polyphaga,Scaffold,343352,7999384,280.62,2025-07-18,Canada's national platform for genome sequencing and analysis,no,C,include
GCA_965615775.1,Crepidodera fulvicornis,1425550,Chrysomelidae,Polyphaga,Scaffold,337879,30505762,562.59,2025-07-07,WELLCOME SANGER INSTITUTE,no,C,include
GCA_965648465.1,Curculio glandium,197013,Curculionidae,Polyphaga,Scaffold,337018,87414335,1112.8,2025-07-28,WELLCOME SANGER INSTITUTE,no,C,include
GCA_033238705.1,Apis cerana,292787,Apidae,Apocrita,Scaffold,329359,12866345,217.41,2023-11-02,"Insect Design Technology Module, Division of Insect Advanced Technology, Institute of Agrobiological Sciences, National Agriculture and Food Research Organization",no,C,include
GCA_965642005.1,Magdalis cerasi,1143066,Curculionidae,Polyphaga,Scaffold,320553,66915580,1555.11,2025-07-13,WELLCOME SANGER INSTITUTE,no,C,include
GCA_004143645.1,Protaetia brevitarsis,348688,Scarabaeidae,Polyphaga,Scaffold,318221,1955572,1143.92,2019-02-07,"Institute of Plant Protection, Chinese Academy of Agricultural Sciences",no,C,include
GCA_965663605.1,Magdalis barbicornis,878129,Curculionidae,Polyphaga,Scaffold,316014,65976285,1399.1,2025-08-10,WELLCOME SANGER INSTITUTE,no,C,include
GCA_040955275.2,Agriotes lineatus,292458,Elateridae,Polyphaga,Scaffold,306820,740691,845.5,2025-02-11,Canada's national platform for genome sequencing and analysis,no,C,include
GCA_977117645.1,Mycetophagus atomarius,433053,Mycetophagidae,Polyphaga,Scaffold,296302,11046548,133.67,2026-02-04,WELLCOME SANGER INSTITUTE,no,C,include
GCA_978045115.1,Xantholinus longiventris,346870,Staphylinidae,Polyphaga,Scaffold,288501,32939392,480.32,2026-03-01,WELLCOME SANGER INSTITUTE,no,C,include
GCA_965282505.1,Ocys tachysoides,1940097,Carabidae,Adephaga,Scaffold,280932,281787,546.13,2025-05-18,WELLCOME SANGER INSTITUTE,no,C,include
GCA_966183735.1,Betulapion simile,382944,Apionidae,Polyphaga,Scaffold,275992,84999299,1183.19,2025-08-22,WELLCOME SANGER INSTITUTE,no,C,include
GCA_964023225.1,Eledona agricola,347340,Tenebrionidae,Polyphaga,Scaffold,268094,268094,694.27,2024-04-08,WELLCOME SANGER INSTITUTE,no,C,include
GCA_949319345.2,Crepidodera aurea,346762,Chrysomelidae,Polyphaga,Scaffold,265917,265917,502.7,2023-07-19,WELLCOME SANGER INSTITUTE,no,C,include
GCA_949319345.1,Crepidodera aurea,346762,Chrysomelidae,Polyphaga,Scaffold,265917,265917,502.7,2023-05-13,WELLCOME SANGER INSTITUTE,no,C,include
GCA_964023225.2,Eledona agricola,347340,Tenebrionidae,Polyphaga,Scaffold,264109,264109,677.32,2025-03-30,WELLCOME SANGER INSTITUTE,no,C,include
GCA_963170735.1,Amphimallon solstitiale,360071,Scarabaeidae,Polyphaga,Scaffold,261090,261564,1372.12,2023-08-23,WELLCOME SANGER INSTITUTE,no,C,include
GCA_911728425.1,Pterostichus madidus,767470,Carabidae,Adephaga,Scaffold,255117,255117,594.61,2021-08-01,WELLCOME SANGER INSTITUTE,no,C,include
GCA_977930305.1,Cis bilamellatus,577748,Ciidae,Polyphaga,Scaffold,254911,254911,2.03,2026-02-05,WELLCOME SANGER INSTITUTE,no,C,include
GCA_965783505.1,Tachyporus hypnorum,346861,Staphylinidae,Polyphaga,Scaffold,251000,14070238,618.71,2025-08-10,WELLCOME SANGER INSTITUTE,no,C,include
GCA_979606525.1,Coelostoma orbiculare,290652,Hydrophilidae,Polyphaga,Scaffold,248329,53431539,729.11,2026-02-28,WELLCOME SANGER INSTITUTE,no,C,include
GCA_978021525.1,Agonum viduum,795042,Carabidae,Adephaga,Scaffold,243144,27225785,647.11,2026-02-25,WELLCOME SANGER INSTITUTE,no,C,include
GCA_965240455.1,Stylops aterrimus,2793623,Stylopidae,Stylopidia,Scaffold,241086,244860,484.93,2025-04-14,WELLCOME SANGER INSTITUTE,no,C,include
GCA_936443135.1,Rutpela maculata,878968,Cerambycidae,Polyphaga,Scaffold,222818,222882,1667.6,2022-05-30,WELLCOME SANGER INSTITUTE,no,C,include
GCA_963556225.1,Cryptophagus acutangulus,1553241,Cryptophagidae,Polyphaga,Scaffold,218088,218088,147.4,2023-10-13,WELLCOME SANGER INSTITUTE,no,C,include
GCA_029619325.1,Dynastes grantii,60843,Scarabaeidae,Polyphaga,Scaffold,215311,56993767,689.26,2023-04-07,Academia Sinica,no,C,include
GCA_027725215.1,Tenebrio molitor,7067,Tenebrionidae,Polyphaga,Scaffold,204901,20827499,258.29,2023-01-12,Open Plastic,no,C,include
GCA_963680695.1,Rhagium mordax,295679,Cerambycidae,Polyphaga,Scaffold,197342,197342,642.81,2023-12-11,WELLCOME SANGER INSTITUTE,no,C,include
GCA_040143775.1,Popillia japonica,7064,Scarabaeidae,Polyphaga,Scaffold,195694,894660,578.05,2024-06-12,University of Siena,no,C,include
GCA_963966125.1,Tenebrio molitor,7067,Tenebrionidae,Polyphaga,Scaffold,188840,188913,220.33,2024-02-13,WELLCOME SANGER INSTITUTE,no,C,include
GCA_044115355.2,Agriotes pubescens,1845008,Elateridae,Polyphaga,Scaffold,187334,404628,887.49,2025-07-15,Canada's national platform for genome sequencing and analysis,no,C,include
GCA_949768705.1,Dascillus cervinus,285223,Dascillidae,Polyphaga,Scaffold,183088,183088,197.01,2023-05-14,WELLCOME SANGER INSTITUTE,no,C,include
GCA_002217905.1,Apis cerana,292787,Apidae,Apocrita,Scaffold,179487,180259,211.2,2017-07-13,"Division of Applied Genetics/Insect Genome Research and Engineering Unit, Institute of Agrobiological Sciences, The National Agriculture and Food Research Organization",no,C,include
GCA_902654985.1,Oryctes borbonicus,1629725,Scarabaeidae,Polyphaga,Scaffold,171752,8422691,388.63,2020-03-25,MAX PLANCK INSTITUTE FOR DEVELOPMENTAL BIOLOGY,no,C,include
GCA_008802855.1,Photinus pyralis,7054,Lampyridae,Polyphaga,Scaffold,170308,47017841,471.51,2019-10-02,Photinus pyralis genome working group,no,C,include
GCA_963969535.1,Ontholestes murinus,875675,Staphylinidae,Polyphaga,Scaffold,165988,176930,973.03,2024-03-06,WELLCOME SANGER INSTITUTE,no,C,include
GCA_026230165.1,Diorhabda sublineata,1163346,Chrysomelidae,Polyphaga,Scaffold,164786,164786,208.94,2022-11-18,USDA Ag100Pest,no,C,include
GCA_964263265.1,Malthodes minimus,878135,Cantharidae,Polyphaga,Scaffold,164693,64858852,523.48,2024-09-15,WELLCOME SANGER INSTITUTE,no,C,include
GCA_050785125.1,Trypoxylus dichotomus,273928,Scarabaeidae,Polyphaga,Scaffold,155672,8021426,614.92,2025-06-05,"Division of Evolutionary Developmental Biology, National Institute for Basic Biology",no,C,include
GCA_963971095.1,Philopedon plagiatum,202117,Curculionidae,Polyphaga,Scaffold,154689,154689,930.09,2024-03-06,WELLCOME SANGER INSTITUTE,no,C,include
GCA_963576715.1,Polydrusus tereticollis,1342093,Curculionidae,Polyphaga,Scaffold,152709,152709,1175.32,2023-11-04,WELLCOME SANGER INSTITUTE,no,C,include
GCA_977071085.1,Acupalpus dubius,346686,Carabidae,Adephaga,Scaffold,152069,19921096,933.36,2025-11-30,WELLCOME SANGER INSTITUTE,no,C,include
GCA_982374335.1,Luperus longicornis,281588,Chrysomelidae,Polyphaga,Scaffold,152057,152112,1225.1,2026-04-05,WELLCOME SANGER INSTITUTE,no,C,include
GCA_949361665.2,Callosobruchus maculatus,64391,Chrysomelidae,Polyphaga,Scaffold,148360,98582428,1012.33,2024-01-12,Evolutionary Biology Centre,no,C,include
GCA_949361665.1,Callosobruchus maculatus,64391,Chrysomelidae,Polyphaga,Scaffold,148360,98582428,1012.33,2024-01-12,Evolutionary Biology Centre,no,C,include
GCA_963924635.1,Malthinus seriepunctatus,1588223,Cantharidae,Polyphaga,Scaffold,146722,146766,379.96,2024-01-30,WELLCOME SANGER INSTITUTE,no,C,include
